case_id,method,task_id,chiplet_id,stack_id,task_type,phase_index,phase_name,start_s,end_s,duration_s,needs_tap,needs_fpp_lanes,needs_bist_engine,power_w
d695_3d_stack,greedy,die_3_MBIST,die_3,stack_0,MBIST,0,CONFIG,0.000000000,0.000001280,0.000001280,True,0,False,0.800000000
d695_3d_stack,greedy,die_3_MBIST,die_3,stack_0,MBIST,1,EXECUTE,0.000001280,0.001461280,0.001460000,False,0,True,0.720000000
d695_3d_stack,greedy,die_3_MBIST,die_3,stack_0,MBIST,2,READOUT,0.001461280,0.001463840,0.000002560,True,0,False,0.800000000
d695_3d_stack,greedy,die_2_INTEST,die_2,stack_0,INTEST,0,CONFIG,0.000001280,0.000002560,0.000001280,True,0,False,0.800000000
d695_3d_stack,greedy,die_2_INTEST,die_2,stack_0,INTEST,1,SHIFT_IN,0.000002560,0.000045440,0.000042880,False,4,False,0.500000000
d695_3d_stack,greedy,die_2_INTEST,die_2,stack_0,INTEST,2,SHIFT_OUT,0.000045440,0.000088320,0.000042880,False,4,False,0.500000000
d695_3d_stack,greedy,die_1_die_2_EXTEST,die_1,stack_0,EXTEST,0,CONFIG,0.000002560,0.000003840,0.000001280,True,0,False,0.800000000
d695_3d_stack,greedy,die_1_die_2_EXTEST,die_1,stack_0,EXTEST,1,SHIFT_IN,0.000003840,0.000075307,0.000071467,False,4,False,0.500000000
d695_3d_stack,greedy,die_1_die_2_EXTEST,die_1,stack_0,EXTEST,2,SHIFT_OUT,0.000075307,0.000146773,0.000071467,False,4,False,0.500000000
d695_3d_stack,greedy,die_2_die_3_EXTEST,die_2,stack_0,EXTEST,0,CONFIG,0.000088320,0.000089600,0.000001280,True,0,False,0.800000000
d695_3d_stack,greedy,die_2_die_3_EXTEST,die_2,stack_0,EXTEST,1,SHIFT_IN,0.000089600,0.000161067,0.000071467,False,4,False,0.500000000
d695_3d_stack,greedy,die_2_die_3_EXTEST,die_2,stack_0,EXTEST,2,SHIFT_OUT,0.000161067,0.000232533,0.000071467,False,4,False,0.500000000
d695_3d_stack,greedy,die_3_INTEST,die_3,stack_0,INTEST,0,CONFIG,0.001463840,0.001465120,0.000001280,True,0,False,0.800000000
d695_3d_stack,greedy,die_3_INTEST,die_3,stack_0,INTEST,1,SHIFT_IN,0.001465120,0.001582720,0.000117600,False,1,False,0.500000000
d695_3d_stack,greedy,die_3_INTEST,die_3,stack_0,INTEST,2,SHIFT_OUT,0.001582720,0.001700320,0.000117600,False,1,False,0.500000000
d695_3d_stack,greedy,die_2_scan,die_2,stack_0,scan,0,CONFIG,0.000232533,0.000233813,0.000001280,True,0,False,0.800000000
d695_3d_stack,greedy,die_2_scan,die_2,stack_0,scan,1,SHIFT_IN,0.001700320,0.001885733,0.000185413,False,4,False,11.200000000
d695_3d_stack,greedy,die_2_scan,die_2,stack_0,scan,2,CAPTURE,0.001885733,0.001886733,0.000001000,True,0,False,10.080000000
d695_3d_stack,greedy,die_2_scan,die_2,stack_0,scan,3,SHIFT_OUT,0.001886733,0.002072147,0.000185413,False,4,False,11.200000000
d695_3d_stack,greedy,die_1_scan,die_1,stack_0,scan,0,CONFIG,0.000146773,0.000148053,0.000001280,True,0,False,0.800000000
d695_3d_stack,greedy,die_1_scan,die_1,stack_0,scan,1,SHIFT_IN,0.000148053,0.000396873,0.000248820,False,4,False,5.600000000
d695_3d_stack,greedy,die_1_scan,die_1,stack_0,scan,2,CAPTURE,0.000396873,0.000397873,0.000001000,True,0,False,5.040000000
d695_3d_stack,greedy,die_1_scan,die_1,stack_0,scan,3,SHIFT_OUT,0.000397873,0.000646693,0.000248820,False,4,False,5.600000000
