case_id,method,task_id,chiplet_id,stack_id,task_type,phase_index,phase_name,start_s,end_s,duration_s,needs_tap,needs_fpp_lanes,needs_bist_engine,power_w
d695_5_5d_multi_tower,greedy,die_3_MBIST,die_3,stack_1,MBIST,0,CONFIG,0.000000000,0.000001280,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_3_MBIST,die_3,stack_1,MBIST,1,EXECUTE,0.000001280,0.001461280,0.001460000,False,0,True,0.720000000
d695_5_5d_multi_tower,greedy,die_3_MBIST,die_3,stack_1,MBIST,2,READOUT,0.001461280,0.001463840,0.000002560,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_2_INTEST,die_2,stack_1,INTEST,0,CONFIG,0.000001280,0.000002560,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_2_INTEST,die_2,stack_1,INTEST,1,SHIFT_IN,0.000002560,0.000034720,0.000032160,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_2_INTEST,die_2,stack_1,INTEST,2,SHIFT_OUT,0.000034720,0.000066880,0.000032160,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_2_die_3_EXTEST,die_2,stack_1,EXTEST,0,CONFIG,0.000066880,0.000068160,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_2_die_3_EXTEST,die_2,stack_1,EXTEST,1,SHIFT_IN,0.000068160,0.000121760,0.000053600,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_2_die_3_EXTEST,die_2,stack_1,EXTEST,2,SHIFT_OUT,0.000121760,0.000175360,0.000053600,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_0_die_2_EXTEST,die_0,stack_0,EXTEST,0,CONFIG,0.000002560,0.000003840,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_0_die_2_EXTEST,die_0,stack_0,EXTEST,1,SHIFT_IN,0.000003840,0.000057440,0.000053600,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_0_die_2_EXTEST,die_0,stack_0,EXTEST,2,SHIFT_OUT,0.000057440,0.000111040,0.000053600,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_0_die_1_EXTEST,die_0,stack_0,EXTEST,0,CONFIG,0.000111040,0.000112320,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_0_die_1_EXTEST,die_0,stack_0,EXTEST,1,SHIFT_IN,0.000112320,0.000197920,0.000085600,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_0_die_1_EXTEST,die_0,stack_0,EXTEST,2,SHIFT_OUT,0.000197920,0.000283520,0.000085600,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_3_INTEST,die_3,stack_1,INTEST,0,CONFIG,0.001463840,0.001465120,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_3_INTEST,die_3,stack_1,INTEST,1,SHIFT_IN,0.001465120,0.001553320,0.000088200,False,1,False,0.500000000
d695_5_5d_multi_tower,greedy,die_3_INTEST,die_3,stack_1,INTEST,2,SHIFT_OUT,0.001553320,0.001641520,0.000088200,False,1,False,0.500000000
d695_5_5d_multi_tower,greedy,die_2_scan,die_2,stack_1,scan,0,CONFIG,0.000175360,0.000176640,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_2_scan,die_2,stack_1,scan,1,SHIFT_IN,0.000176640,0.000315700,0.000139060,False,4,False,11.200000000
d695_5_5d_multi_tower,greedy,die_2_scan,die_2,stack_1,scan,2,CAPTURE,0.000315700,0.000316700,0.000001000,True,0,False,10.080000000
d695_5_5d_multi_tower,greedy,die_2_scan,die_2,stack_1,scan,3,SHIFT_OUT,0.000316700,0.000455760,0.000139060,False,4,False,11.200000000
d695_5_5d_multi_tower,greedy,die_0_INTEST,die_0,stack_0,INTEST,0,CONFIG,0.000283520,0.000284800,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_0_INTEST,die_0,stack_0,INTEST,1,SHIFT_IN,0.000316700,0.000467180,0.000150480,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_0_INTEST,die_0,stack_0,INTEST,2,SHIFT_OUT,0.000467180,0.000617660,0.000150480,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_1_die_3_EXTEST,die_1,stack_0,EXTEST,0,CONFIG,0.000197920,0.000199200,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_1_die_3_EXTEST,die_1,stack_0,EXTEST,1,SHIFT_IN,0.000199200,0.000284800,0.000085600,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_1_die_3_EXTEST,die_1,stack_0,EXTEST,2,SHIFT_OUT,0.000316700,0.000402300,0.000085600,False,4,False,0.500000000
d695_5_5d_multi_tower,greedy,die_1_scan,die_1,stack_0,scan,0,CONFIG,0.000402300,0.000403580,0.000001280,True,0,False,0.800000000
d695_5_5d_multi_tower,greedy,die_1_scan,die_1,stack_0,scan,1,SHIFT_IN,0.000455760,0.000642375,0.000186615,False,4,False,5.600000000
d695_5_5d_multi_tower,greedy,die_1_scan,die_1,stack_0,scan,2,CAPTURE,0.000642375,0.000643375,0.000001000,True,0,False,5.040000000
