case_id,method,task_id,chiplet_id,stack_id,task_type,phase_index,phase_name,start_s,end_s,duration_s,needs_tap,needs_fpp_lanes,needs_bist_engine,power_w
p93791_2_5d_interposer,greedy,die_7_MBIST,die_7,stack_0,MBIST,0,CONFIG,0.000000000,0.000001280,0.000001280,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_7_MBIST,die_7,stack_0,MBIST,1,EXECUTE,0.000001280,0.053761280,0.053760000,False,0,True,0.720000000
p93791_2_5d_interposer,greedy,die_7_MBIST,die_7,stack_0,MBIST,2,READOUT,0.053761280,0.053763840,0.000002560,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_4_MBIST,die_4,stack_0,MBIST,0,CONFIG,0.000001280,0.000002560,0.000001280,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_4_MBIST,die_4,stack_0,MBIST,1,EXECUTE,0.000002560,0.061442560,0.061440000,False,0,True,0.720000000
p93791_2_5d_interposer,greedy,die_4_MBIST,die_4,stack_0,MBIST,2,READOUT,0.061442560,0.061445120,0.000002560,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_3_MBIST,die_3,stack_0,MBIST,0,CONFIG,0.000002560,0.000003840,0.000001280,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_3_MBIST,die_3,stack_0,MBIST,1,EXECUTE,0.000003840,0.061683840,0.061680000,False,0,True,0.720000000
p93791_2_5d_interposer,greedy,die_3_MBIST,die_3,stack_0,MBIST,2,READOUT,0.061683840,0.061686400,0.000002560,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_0_MBIST,die_0,stack_0,MBIST,0,CONFIG,0.000003840,0.000005120,0.000001280,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_0_MBIST,die_0,stack_0,MBIST,1,EXECUTE,0.000005120,0.122545120,0.122540000,False,0,True,0.720000000
p93791_2_5d_interposer,greedy,die_0_MBIST,die_0,stack_0,MBIST,2,READOUT,0.122545120,0.122547680,0.000002560,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_5_INTEST,die_5,stack_0,INTEST,0,CONFIG,0.000005120,0.000006400,0.000001280,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_5_INTEST,die_5,stack_0,INTEST,1,SHIFT_IN,0.000006400,0.000279040,0.000272640,False,4,False,0.500000000
p93791_2_5d_interposer,greedy,die_5_INTEST,die_5,stack_0,INTEST,2,SHIFT_OUT,0.000279040,0.000551680,0.000272640,False,4,False,0.500000000
p93791_2_5d_interposer,greedy,die_2_INTEST,die_2,stack_0,INTEST,0,CONFIG,0.000006400,0.000007680,0.000001280,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_2_INTEST,die_2,stack_0,INTEST,1,SHIFT_IN,0.000007680,0.000296320,0.000288640,False,4,False,0.500000000
p93791_2_5d_interposer,greedy,die_2_INTEST,die_2,stack_0,INTEST,2,SHIFT_OUT,0.000296320,0.000584960,0.000288640,False,4,False,0.500000000
p93791_2_5d_interposer,greedy,die_8_INTEST,die_8,stack_0,INTEST,0,CONFIG,0.000007680,0.000008960,0.000001280,True,0,False,0.800000000
p93791_2_5d_interposer,greedy,die_8_INTEST,die_8,stack_0,INTEST,1,SHIFT_IN,0.000008960,0.001310080,0.001301120,True,0,False,0.500000000
p93791_2_5d_interposer,greedy,die_8_INTEST,die_8,stack_0,INTEST,2,SHIFT_OUT,0.001310080,0.002611200,0.001301120,True,0,False,0.500000000
