case_id,method,task_id,chiplet_id,stack_id,task_type,phase_index,phase_name,start_s,end_s,duration_s,needs_tap,needs_fpp_lanes,needs_bist_engine,power_w
p93791_3d_stack,greedy,die_7_MBIST,die_7,stack_0,MBIST,0,CONFIG,0.000000000,0.000001280,0.000001280,True,0,False,0.500000000
p93791_3d_stack,greedy,die_7_MBIST,die_7,stack_0,MBIST,1,EXECUTE,0.000001280,0.000807680,0.000806400,False,0,True,0.400000000
p93791_3d_stack,greedy,die_7_MBIST,die_7,stack_0,MBIST,2,READOUT,0.000807680,0.000810240,0.000002560,True,0,False,0.500000000
p93791_3d_stack,greedy,die_4_MBIST,die_4,stack_0,MBIST,0,CONFIG,0.000001280,0.000002560,0.000001280,True,0,False,0.500000000
p93791_3d_stack,greedy,die_4_MBIST,die_4,stack_0,MBIST,1,EXECUTE,0.000002560,0.000924160,0.000921600,False,0,True,0.400000000
p93791_3d_stack,greedy,die_4_MBIST,die_4,stack_0,MBIST,2,READOUT,0.000924160,0.000926720,0.000002560,True,0,False,0.500000000
p93791_3d_stack,greedy,die_3_MBIST,die_3,stack_0,MBIST,0,CONFIG,0.000002560,0.000003840,0.000001280,True,0,False,0.500000000
p93791_3d_stack,greedy,die_3_MBIST,die_3,stack_0,MBIST,1,EXECUTE,0.000003840,0.000929040,0.000925200,False,0,True,0.400000000
p93791_3d_stack,greedy,die_3_MBIST,die_3,stack_0,MBIST,2,READOUT,0.000929040,0.000931600,0.000002560,True,0,False,0.500000000
p93791_3d_stack,greedy,die_0_MBIST,die_0,stack_0,MBIST,0,CONFIG,0.000003840,0.000005120,0.000001280,True,0,False,0.500000000
p93791_3d_stack,greedy,die_0_MBIST,die_0,stack_0,MBIST,1,EXECUTE,0.000005120,0.001843220,0.001838100,False,0,True,0.400000000
p93791_3d_stack,greedy,die_0_MBIST,die_0,stack_0,MBIST,2,READOUT,0.001843220,0.001845780,0.000002560,True,0,False,0.500000000
p93791_3d_stack,greedy,die_6_die_7_EXTEST,die_6,stack_0,EXTEST,0,CONFIG,0.000005120,0.000006400,0.000001280,True,0,False,0.500000000
p93791_3d_stack,greedy,die_6_die_7_EXTEST,die_6,stack_0,EXTEST,1,SHIFT,0.000006400,0.000054400,0.000048000,False,4,False,0.500000000
p93791_3d_stack,greedy,die_5_die_6_EXTEST,die_5,stack_0,EXTEST,0,CONFIG,0.000006400,0.000007680,0.000001280,True,0,False,0.500000000
p93791_3d_stack,greedy,die_5_die_6_EXTEST,die_5,stack_0,EXTEST,1,SHIFT,0.000007680,0.000123947,0.000116267,False,4,False,0.500000000
p93791_3d_stack,greedy,die_3_die_4_EXTEST,die_3,stack_0,EXTEST,0,CONFIG,0.000931600,0.000932880,0.000001280,True,0,False,0.500000000
p93791_3d_stack,greedy,die_3_die_4_EXTEST,die_3,stack_0,EXTEST,1,SHIFT,0.000932880,0.001067280,0.000134400,True,0,False,0.500000000
p93791_3d_stack,greedy,die_4_die_5_EXTEST,die_4,stack_0,EXTEST,0,CONFIG,0.000926720,0.000928000,0.000001280,True,0,False,0.500000000
p93791_3d_stack,greedy,die_4_die_5_EXTEST,die_4,stack_0,EXTEST,1,SHIFT,0.001067280,0.001201680,0.000134400,True,0,False,0.500000000
p93791_3d_stack,greedy,die_1_die_2_EXTEST,die_1,stack_0,EXTEST,0,CONFIG,0.000007680,0.000008960,0.000001280,True,0,False,0.500000000
