field,value,unit,source_id,evidence,data_class,use_status,notes
hbt_dimension,1 x 1,um,OPEN3DBENCH,"open3dbench_2503.12946.pdf, p.4, Section IV-A",public_measured_or_benchmark,allowed_for_3d_link_notes,"HBT layer dimension in NanGate45_3D."
hbt_pitch,2,um,OPEN3DBENCH,"open3dbench_2503.12946.pdf, p.4, Section IV-A",public_measured_or_benchmark,allowed_for_3d_link_notes,"HBT layer pitch in NanGate45_3D."
hbt_spacing_alternate_statement,1,um,OPEN3DBENCH,"open3dbench_2503.12946.pdf, p.6, Section IV-F",public_measured_or_benchmark,allowed_for_3d_link_notes,"Routing section states 1um x 1um with 1um spacing; keep both statements visible."
thermal_tool,HotSpot,text,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Fig. 1 and Fig. 3",public_measured_or_benchmark,allowed_for_method_justification,"Open3DBench flow uses HotSpot for thermal analysis."
area_improvement_mol_vs_2d,51.19,percent,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Abstract and Table II",public_measured_or_benchmark,allowed_for_related_work,"MoL flow area reduction relative to 2D ORFS."
wirelength_improvement_mol_vs_2d,20.06,percent,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Abstract and Table II",public_measured_or_benchmark,allowed_for_related_work,"MoL flow wirelength reduction relative to 2D ORFS."
negative_slack_improvement_mol_vs_2d,42.09,percent,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Abstract and Table II",public_measured_or_benchmark,allowed_for_related_work,"MoL flow negative-slack reduction relative to 2D ORFS."
ariane133_2d_area,2.25,mm2,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_topology,"Can be used as real die/design area for a public benchmark-derived case."
ariane133_mol_area,1.00,mm2,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_topology,"Can be used as real MoL footprint area for a public benchmark-derived case."
ariane133_2d_power,0.364,W,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_power,"Design-level power, not scan/capture-specific power."
ariane133_mol_analytical_power,0.371,W,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_power,"Design-level power, not scan/capture-specific power."
ariane133_2d_tmax,55.16,C,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_thermal_reference,"Post-route thermal result, not scheduler output."
ariane133_mol_analytical_tmax,59.22,C,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_thermal_reference,"Post-route thermal result, not scheduler output."
bp_multi_2d_area,1.21,mm2,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_topology,"Can be used as real die/design area for a public benchmark-derived case."
bp_multi_mol_area,0.64,mm2,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_topology,"Can be used as real MoL footprint area for a public benchmark-derived case."
bp_multi_2d_power,1.095,W,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_power,"Design-level power, not scan/capture-specific power."
bp_multi_mol_analytical_power,1.010,W,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_power,"Design-level power, not scan/capture-specific power."
bp_multi_2d_tmax,79.05,C,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_thermal_reference,"Post-route thermal result, not scheduler output."
bp_multi_mol_analytical_tmax,102.39,C,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_thermal_reference,"Post-route thermal result, not scheduler output."
ariane133_tcad25_terminal_count,4934,count,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table III",public_measured_or_benchmark,candidate_for_3d_interconnect_count,"Terminal count corresponds to HBT/3D-net count in LoL evaluation."
bp_multi_tcad25_terminal_count,7151,count,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table III",public_measured_or_benchmark,candidate_for_3d_interconnect_count,"Terminal count corresponds to HBT/3D-net count in LoL evaluation."
ariane136_2d_area,2.25,mm2,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_topology,"ariane136 also 2.25 mm2 in 2D, similar to ariane133."
ariane136_mol_area,1.00,mm2,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_topology,"ariane136 MoL area 1.00 mm2."
swerv_wrapper_2d_area,12.96,mm2,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_topology,"Largest design in benchmark suite; represents large-scale 3D-IC case."
swerv_wrapper_mol_area,6.25,mm2,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_topology,"MoL version demonstrates ~51% area reduction."
swerv_wrapper_2d_power,1.815,W,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_power,"Design-level power for large-scale benchmark."
swerv_wrapper_mol_power,1.779,W,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_power,"Design-level power for MoL integration."
swerv_wrapper_2d_tmax,65.21,C,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_thermal_reference,"Post-route thermal result for large-scale benchmark."
swerv_wrapper_mol_tmax,66.56,C,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II",public_measured_or_benchmark,candidate_for_thermal_reference,"MoL Tmax shows 3D thermal overhead."
hbt_routing_spacing,1,um,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Section V-F",public_measured_or_benchmark,allowed_for_3d_link_notes,"HBT spacing rule used in routing: 1um x 1um with 1um spacing."
open3dbench_total_designs,13,count,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table I",public_measured_or_benchmark,allowed_for_related_work,"Total 13 designs across MoL (8) and LoL (5+8) evaluation flows."
open3dbench_flow_uses_hotspot7,true,boolean,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Section IV-H",public_measured_or_benchmark,allowed_for_method_justification,"Open3DBench thermal simulation uses HotSpot 7.0 with 10x10 grid per die."
mol_area_improvement_vs_2d,51.19,percent,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II aggregate rows",public_measured_or_benchmark,allowed_for_related_work,"Average area reduction of MoL vs 2D across 8 benchmarks."
mol_power_reduction_vs_2d,2.35,percent,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II aggregate rows",public_measured_or_benchmark,allowed_for_related_work,"Average power reduction of MoL vs 2D (from reduced net capacitance)."
mol_tmax_increase_vs_2d,12.73,percent,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II aggregate rows",public_measured_or_benchmark,allowed_for_related_work,"Average Tmax increase in 3D MoL vs 2D (thermal-density trade-off)."
mol_wirelength_improvement_drt,6.21,percent,OPEN3DBENCH,"open3dbench_2503.12946.pdf, Table II aggregate rows",public_measured_or_benchmark,allowed_for_related_work,"Average DRT wirelength improvement MoL vs 2D."
open3dbench_github_org,lamda-bbo,text,OPEN3DBENCH,"open3dbench_2503.12946.pdf, acknowledgments and github links",public_measured_or_benchmark,allowed_for_method_justification,"GitHub organization hosting Open3DBench repositories."
