case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,power_w,thermal_region,resource_notes
m10_xlarge_p93791_5_5d_multi_tower,p93791_m6_die0,core,die0,F_p93791_m6_die0_lane16,F,0,CONFIG_ACCESS_PATH,0.0,1.92e-06,1.92e-06,True,0,,,,0.11,thermal_die0,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m6_die0,core,die0,F_p93791_m6_die0_lane16,F,1,CONFIG_FPP,1.92e-06,3.2e-06,1.28e-06,True,0,fpp_multitower,,,0.11,thermal_die0,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m6_die0,core,die0,F_p93791_m6_die0_lane16,F,2,CONFIG_SCAN_OR_DWR_MODE,3.2e-06,4.52e-06,1.32e-06,True,0,,dwr_die0,,0.11,thermal_die0,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m6_die0,core,die0,F_p93791_m6_die0_lane16,F,3,FPP_SHIFT_IN,4.52e-06,6.2946562499999995e-06,1.77465625e-06,False,16,fpp_multitower,dwr_die0,,1.62,thermal_die0,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m30_die0,core,die10,F_p93791_m30_die0_lane16,F,0,CONFIG_ACCESS_PATH,4.52e-06,7.72e-06,3.2e-06,True,0,,,,0.0502,thermal_die10,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m6_die0,core,die0,F_p93791_m6_die0_lane16,F,4,CAPTURE,6.2946562499999995e-06,7.294656249999999e-06,1e-06,False,0,,,,2.1799999999999997,thermal_die0,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m6_die0,core,die0,F_p93791_m6_die0_lane16,F,5,FPP_SHIFT_OUT,7.294656249999999e-06,9.069312499999999e-06,1.77465625e-06,False,16,fpp_multitower,dwr_die0,,1.62,thermal_die0,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m30_die0,core,die10,F_p93791_m30_die0_lane16,F,1,CONFIG_FPP,7.72e-06,9e-06,1.28e-06,True,0,fpp_multitower,,,0.0502,thermal_die10,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m30_die0,core,die10,F_p93791_m30_die0_lane16,F,2,CONFIG_SCAN_OR_DWR_MODE,9e-06,1.032e-05,1.32e-06,True,0,,dwr_die10,,0.0502,thermal_die10,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m30_die0,core,die10,F_p93791_m30_die0_lane16,F,3,FPP_SHIFT_IN,1.032e-05,1.0551e-05,2.31e-07,False,16,fpp_multitower,dwr_die10,,0.7126,thermal_die10,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m31_die8,core,die8,F_p93791_m31_die8_lane16,F,0,CONFIG_ACCESS_PATH,1.032e-05,1.352e-05,3.2e-06,True,0,,,,0.0505,thermal_die8,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m30_die0,core,die10,F_p93791_m30_die0_lane16,F,4,CAPTURE,1.0551e-05,1.1551e-05,1e-06,False,0,,,,0.47490000000000004,thermal_die10,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m30_die0,core,die10,F_p93791_m30_die0_lane16,F,5,FPP_SHIFT_OUT,1.1551e-05,1.1782e-05,2.31e-07,False,16,fpp_multitower,dwr_die10,,0.7126,thermal_die10,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m31_die8,core,die8,F_p93791_m31_die8_lane16,F,1,CONFIG_FPP,1.352e-05,1.4799999999999999e-05,1.28e-06,True,0,fpp_multitower,,,0.0505,thermal_die8,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m31_die8,core,die8,F_p93791_m31_die8_lane16,F,2,CONFIG_SCAN_OR_DWR_MODE,1.4799999999999999e-05,1.6119999999999998e-05,1.32e-06,True,0,,dwr_die8,,0.0505,thermal_die8,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m31_die8,core,die8,F_p93791_m31_die8_lane16,F,3,FPP_SHIFT_IN,1.6119999999999998e-05,1.6814875e-05,6.94875e-07,False,16,fpp_multitower,dwr_die8,,0.7178,thermal_die8,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m28_die6,core,die6,F_p93791_m28_die6_lane16,F,0,CONFIG_ACCESS_PATH,1.6119999999999998e-05,1.9319999999999998e-05,3.2e-06,True,0,,,,0.0507,thermal_die6,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m31_die8,core,die8,F_p93791_m31_die8_lane16,F,4,CAPTURE,1.6814875e-05,1.7814875e-05,1e-06,False,0,,,,0.4846,thermal_die8,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m31_die8,core,die8,F_p93791_m31_die8_lane16,F,5,FPP_SHIFT_OUT,1.7814875e-05,1.850975e-05,6.94875e-07,False,16,fpp_multitower,dwr_die8,,0.7178,thermal_die8,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m28_die6,core,die6,F_p93791_m28_die6_lane16,F,1,CONFIG_FPP,1.9319999999999998e-05,2.06e-05,1.28e-06,True,0,fpp_multitower,,,0.0507,thermal_die6,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m28_die6,core,die6,F_p93791_m28_die6_lane16,F,2,CONFIG_SCAN_OR_DWR_MODE,2.06e-05,2.192e-05,1.32e-06,True,0,,dwr_die6,,0.0507,thermal_die6,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m28_die6,core,die6,F_p93791_m28_die6_lane16,F,3,FPP_SHIFT_IN,2.192e-05,2.29038125e-05,9.838125e-07,False,16,fpp_multitower,dwr_die6,,0.721,thermal_die6,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m16_die4,core,die4,F_p93791_m16_die4_lane16,F,0,CONFIG_ACCESS_PATH,2.192e-05,2.512e-05,3.2e-06,True,0,,,,0.0509,thermal_die4,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m28_die6,core,die6,F_p93791_m28_die6_lane16,F,4,CAPTURE,2.29038125e-05,2.39038125e-05,1e-06,False,0,,,,0.4907,thermal_die6,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m28_die6,core,die6,F_p93791_m28_die6_lane16,F,5,FPP_SHIFT_OUT,2.39038125e-05,2.4887625e-05,9.838125e-07,False,16,fpp_multitower,dwr_die6,,0.721,thermal_die6,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m16_die4,core,die4,F_p93791_m16_die4_lane16,F,1,CONFIG_FPP,2.512e-05,2.64e-05,1.28e-06,True,0,fpp_multitower,,,0.0509,thermal_die4,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m16_die4,core,die4,F_p93791_m16_die4_lane16,F,2,CONFIG_SCAN_OR_DWR_MODE,2.64e-05,2.7720000000000002e-05,1.32e-06,True,0,,dwr_die4,,0.0509,thermal_die4,
m10_xlarge_p93791_5_5d_multi_tower,p93791_m16_die4,core,die4,F_p93791_m16_die4_lane16,F,3,FPP_SHIFT_IN,2.7720000000000002e-05,2.89636875e-05,1.2436875e-06,False,16,fpp_multitower,dwr_die4,,0.7239,thermal_die4,
