case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,power_w,thermal_region,resource_notes
3d_stack_m1_example,core_die1_cpu,core,die1,S_core_die1_cpu_serial,S,0,CONFIG_ACCESS_PATH,0.0,3.2e-06,3.2e-06,True,0,,,,0.14,thermal_die1,
3d_stack_m1_example,core_die1_cpu,core,die1,S_core_die1_cpu_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,3.2e-06,4.839999999999999e-06,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,0.14,thermal_die1,
3d_stack_m1_example,core_die1_cpu,core,die1,S_core_die1_cpu_serial,S,2,SERIAL_SHIFT_IN,4.839999999999999e-06,0.00960484,0.0096,True,0,,,,1.19,thermal_die1,
3d_stack_m1_example,core_die1_cpu,core,die1,S_core_die1_cpu_serial,S,3,CAPTURE,0.00960484,0.00960584,1e-06,False,0,,,,2.24,thermal_die1,
3d_stack_m1_example,core_die1_cpu,core,die1,S_core_die1_cpu_serial,S,4,SERIAL_SHIFT_OUT,0.00960584,0.01921672,0.00961088,True,0,,dwr_die1_lower;dwr_die1_upper,,1.19,thermal_die1,
3d_stack_m1_example,core_die0_logic,core,die0,S_core_die0_logic_serial,S,0,CONFIG_ACCESS_PATH,0.01921672,0.01921864,1.92e-06,True,0,,,,0.12,thermal_die0,
3d_stack_m1_example,core_die0_logic,core,die0,S_core_die0_logic_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.01921864,0.019219959999999998,1.32e-06,True,0,,dwr_die0_upper,,0.12,thermal_die0,
3d_stack_m1_example,core_die0_logic,core,die0,S_core_die0_logic_serial,S,2,SERIAL_SHIFT_IN,0.019219959999999998,0.025363959999999998,0.006144,True,0,,,,0.97,thermal_die0,
3d_stack_m1_example,core_die0_logic,core,die0,S_core_die0_logic_serial,S,3,CAPTURE,0.025363959999999998,0.02536496,1e-06,False,0,,,,1.92,thermal_die0,
3d_stack_m1_example,core_die0_logic,core,die0,S_core_die0_logic_serial,S,4,SERIAL_SHIFT_OUT,0.02536496,0.03151408,0.00614912,True,0,,dwr_die0_upper,,0.97,thermal_die0,
3d_stack_m1_example,core_die3_accel,core,die3,S_core_die3_accel_serial,S,0,CONFIG_ACCESS_PATH,0.03151408,0.03151984,5.76e-06,True,0,,,,0.16,thermal_die3,
3d_stack_m1_example,core_die3_accel,core,die3,S_core_die3_accel_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.03151984,0.03152116,1.32e-06,True,0,,dwr_die3_lower,,0.16,thermal_die3,
3d_stack_m1_example,core_die3_accel,core,die3,S_core_die3_accel_serial,S,2,SERIAL_SHIFT_IN,0.03152116,0.045345159999999995,0.013824,True,0,,,,1.3599999999999999,thermal_die3,
3d_stack_m1_example,core_die3_accel,core,die3,S_core_die3_accel_serial,S,3,CAPTURE,0.045345159999999995,0.045346159999999996,1e-06,False,0,,,,2.7600000000000002,thermal_die3,
3d_stack_m1_example,core_die3_accel,core,die3,S_core_die3_accel_serial,S,4,SERIAL_SHIFT_OUT,0.045346159999999996,0.059176559999999996,0.0138304,True,0,,dwr_die3_lower,,1.3599999999999999,thermal_die3,
3d_stack_m1_example,mem_die2_sram,memory,die2,S_mem_die2_sram_serial,S,0,CONFIG_ACCESS_PATH,0.059176559999999996,0.05918104,4.48e-06,True,0,,,,0.1,thermal_die2,
3d_stack_m1_example,mem_die2_sram,memory,die2,S_mem_die2_sram_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.05918104,0.059182679999999994,1.64e-06,True,0,,dwr_die2_lower;dwr_die2_upper,,0.1,thermal_die2,
3d_stack_m1_example,mem_die2_sram,memory,die2,S_mem_die2_sram_serial,S,2,SERIAL_SHIFT_IN,0.059182679999999994,0.061230679999999996,0.002048,True,0,,,,0.7999999999999999,thermal_die2,
3d_stack_m1_example,mem_die2_sram,memory,die2,S_mem_die2_sram_serial,S,3,CAPTURE,0.061230679999999996,0.06123168,1e-06,False,0,,,,1.7000000000000002,thermal_die2,
3d_stack_m1_example,mem_die2_sram,memory,die2,S_mem_die2_sram_serial,S,4,SERIAL_SHIFT_OUT,0.06123168,0.06329184,0.00206016,True,0,,dwr_die2_lower;dwr_die2_upper,,0.7999999999999999,thermal_die2,
3d_stack_m1_example,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,0,CONFIG_ACCESS_PATH,0.06329184,0.06329632,4.48e-06,True,0,,,,0.0,thermal_die2,
3d_stack_m1_example,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,1,CONFIG_DWR_MODE,0.06329632,0.06329796,1.64e-06,True,0,,dwr_die1_upper;dwr_die2_lower,,0.0,thermal_die2,
3d_stack_m1_example,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,2,DWR_SHIFT_IN,0.06329796,0.06337988,8.192e-05,True,0,,dwr_die1_upper;dwr_die2_lower,tsv_die1_die2,0.5,thermal_die2,
3d_stack_m1_example,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,3,DWR_CAPTURE,0.06337988,0.06338088,1e-06,False,0,,dwr_die1_upper;dwr_die2_lower,tsv_die1_die2,0.5,thermal_die2,
3d_stack_m1_example,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,4,DWR_SHIFT_OUT,0.06338088,0.06347432,9.344e-05,True,0,,dwr_die1_upper;dwr_die2_lower,tsv_die1_die2,0.5,thermal_die2,
3d_stack_m1_example,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,0,CONFIG_ACCESS_PATH,0.06347432,0.06347752,3.2e-06,True,0,,,,0.0,thermal_die1,
3d_stack_m1_example,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,1,CONFIG_DWR_MODE,0.06347752,0.06347915999999999,1.64e-06,True,0,,dwr_die0_upper;dwr_die1_lower,,0.0,thermal_die1,
3d_stack_m1_example,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,2,DWR_SHIFT_IN,0.06347915999999999,0.06356107999999999,8.192e-05,True,0,,dwr_die0_upper;dwr_die1_lower,mbump_die0_die1,0.45,thermal_die1,
3d_stack_m1_example,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,3,DWR_CAPTURE,0.06356107999999999,0.06356207999999999,1e-06,False,0,,dwr_die0_upper;dwr_die1_lower,mbump_die0_die1,0.45,thermal_die1,
3d_stack_m1_example,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,4,DWR_SHIFT_OUT,0.06356207999999999,0.06365423999999999,9.216e-05,True,0,,dwr_die0_upper;dwr_die1_lower,mbump_die0_die1,0.45,thermal_die1,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,0,CONFIG_ACCESS_PATH,0.06365423999999999,0.06365999999999998,5.76e-06,True,0,,,,0.0,thermal_die3,
