case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
m21_pressure_small_d695_3d_stack,d695_m5_die0,core,die0,F_d695_m5_die0_lane8,F,0,CONFIG_ACCESS_PATH,0.0,1.92e-06,1.92e-06,True,0,,,,,0.08,thermal_die0,
m21_pressure_small_d695_3d_stack,d695_m5_die0,core,die0,F_d695_m5_die0_lane8,F,1,CONFIG_FPP,1.92e-06,3.2e-06,1.28e-06,True,0,fpp_3d_stack,,,,0.08,thermal_die0,
m21_pressure_small_d695_3d_stack,d695_m5_die0,core,die0,F_d695_m5_die0_lane8,F,2,CONFIG_SCAN_OR_DWR_MODE,3.2e-06,4.52e-06,1.32e-06,True,0,,dwr_die0,,,0.08,thermal_die0,
m21_pressure_small_d695_3d_stack,d695_m9_die2,core,die2,F_d695_m9_die2_lane8,F,0,CONFIG_ACCESS_PATH,4.52e-06,9e-06,4.48e-06,True,0,,,,,0.08,thermal_die2,
m21_pressure_small_d695_3d_stack,d695_m5_die0,core,die0,F_d695_m5_die0_lane8,F,3,FPP_SHIFT_IN,4.52e-06,0.00320452,0.0032,False,8,fpp_3d_stack,dwr_die0,,test_session_die0,1.52,thermal_die0,
m21_pressure_small_d695_3d_stack,d695_m9_die2,core,die2,F_d695_m9_die2_lane8,F,1,CONFIG_FPP,9e-06,1.028e-05,1.28e-06,True,0,fpp_3d_stack,,,,0.08,thermal_die2,
m21_pressure_small_d695_3d_stack,d695_m9_die2,core,die2,F_d695_m9_die2_lane8,F,2,CONFIG_SCAN_OR_DWR_MODE,1.028e-05,1.16e-05,1.32e-06,True,0,,dwr_die2,,,0.08,thermal_die2,
m21_pressure_small_d695_3d_stack,d695_m4_die1,memory,die1,F_d695_m4_die1_lane8,F,0,CONFIG_ACCESS_PATH,1.16e-05,1.48e-05,3.2e-06,True,0,,,,,0.08,thermal_die1,
m21_pressure_small_d695_3d_stack,d695_m4_die1,memory,die1,F_d695_m4_die1_lane8,F,1,CONFIG_FPP,1.48e-05,1.608e-05,1.28e-06,True,0,fpp_3d_stack,,,,0.08,thermal_die1,
m21_pressure_small_d695_3d_stack,d695_m4_die1,memory,die1,F_d695_m4_die1_lane8,F,2,CONFIG_SCAN_OR_DWR_MODE,1.608e-05,1.74e-05,1.32e-06,True,0,,dwr_die1,,,0.08,thermal_die1,
m21_pressure_small_d695_3d_stack,d695_m2_die0,core,die0,F_d695_m2_die0_lane8,F,0,CONFIG_ACCESS_PATH,1.74e-05,1.932e-05,1.92e-06,True,0,,,,,0.08,thermal_die0,
m21_pressure_small_d695_3d_stack,d695_m2_die0,core,die0,F_d695_m2_die0_lane8,F,1,CONFIG_FPP,1.932e-05,2.06e-05,1.28e-06,True,0,fpp_3d_stack,,,,0.08,thermal_die0,
m21_pressure_small_d695_3d_stack,d695_m1_die1,core,die1,F_d695_m1_die1_lane8,F,0,CONFIG_ACCESS_PATH,2.06e-05,2.38e-05,3.2e-06,True,0,,,,,0.08,thermal_die1,
