case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_core_4die_task,core3,core,die2,F_core3_lane2|task=die2_core3_INTEST,F,0,CONFIG_ACCESS_PATH,0.0,4.48e-06,4.48e-06,True,0,,dwr_die2_lower;dwr_die2_upper,,,0.16,thermal_die2,
v4_core_4die_task,core3,core,die2,F_core3_lane2|task=die2_core3_INTEST,F,1,CONFIG_FPP,4.48e-06,5.760000000000001e-06,1.28e-06,True,0,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,,0.16,thermal_die2,
v4_core_4die_task,core3,core,die2,F_core3_lane2|task=die2_core3_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,5.760000000000001e-06,7.4e-06,1.64e-06,True,0,,dwr_die2_lower;dwr_die2_upper,,,0.16,thermal_die2,
v4_core_4die_task,core2,core,die1,F_core2_lane2|task=die1_core2_INTEST,F,0,CONFIG_ACCESS_PATH,7.4e-06,1.06e-05,3.2e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,,0.14,thermal_die1,
v4_core_4die_task,core3,core,die2,F_core3_lane2|task=die2_core3_INTEST,F,3,FPP_SHIFT_IN,7.4e-06,9.38e-05,8.64e-05,False,2,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,test_session_die2,1.42,thermal_die2,
v4_core_4die_task,core2,core,die1,F_core2_lane2|task=die1_core2_INTEST,F,1,CONFIG_FPP,1.06e-05,1.188e-05,1.28e-06,True,0,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,,0.14,thermal_die1,
v4_core_4die_task,core2,core,die1,F_core2_lane2|task=die1_core2_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,1.188e-05,1.352e-05,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,,0.14,thermal_die1,
v4_core_4die_task,core0,core,die0,F_core0_lane2|task=die0_core0_INTEST,F,0,CONFIG_ACCESS_PATH,1.352e-05,1.5439999999999998e-05,1.92e-06,True,0,,dwr_die0_upper,,,0.12,thermal_die0,
v4_core_4die_task,core2,core,die1,F_core2_lane2|task=die1_core2_INTEST,F,3,FPP_SHIFT_IN,1.352e-05,7.352e-05,6e-05,False,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,test_session_die1,1.25,thermal_die1,
v4_core_4die_task,core0,core,die0,F_core0_lane2|task=die0_core0_INTEST,F,1,CONFIG_FPP,1.5439999999999998e-05,1.672e-05,1.28e-06,True,0,fpp_ch0,dwr_die0_upper,,,0.12,thermal_die0,
v4_core_4die_task,core0,core,die0,F_core0_lane2|task=die0_core0_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,1.672e-05,1.804e-05,1.32e-06,True,0,,dwr_die0_upper,,,0.12,thermal_die0,
v4_core_4die_task,core4,core,die3,F_core4_lane2|task=die3_core4_INTEST,F,0,CONFIG_ACCESS_PATH,1.804e-05,2.38e-05,5.76e-06,True,0,,dwr_die3_lower,,,0.16,thermal_die3,
v4_core_4die_task,core0,core,die0,F_core0_lane2|task=die0_core0_INTEST,F,3,FPP_SHIFT_IN,1.804e-05,5.6439999999999995e-05,3.84e-05,False,2,fpp_ch0,dwr_die0_upper,,test_session_die0,1.0299999999999998,thermal_die0,
v4_core_4die_task,core4,core,die3,F_core4_lane2|task=die3_core4_INTEST,F,1,CONFIG_FPP,2.38e-05,2.508e-05,1.28e-06,True,0,fpp_ch0,dwr_die3_lower,,,0.16,thermal_die3,
v4_core_4die_task,core4,core,die3,F_core4_lane2|task=die3_core4_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,2.508e-05,2.64e-05,1.32e-06,True,0,,dwr_die3_lower,,,0.16,thermal_die3,
v4_core_4die_task,core4,core,die3,F_core4_lane2|task=die3_core4_INTEST,F,3,FPP_SHIFT_IN,2.64e-05,0.0001128,8.64e-05,False,2,fpp_ch0,dwr_die3_lower,,test_session_die3,1.42,thermal_die3,
v4_core_4die_task,core0,core,die0,F_core0_lane2|task=die0_core0_INTEST,F,4,CAPTURE,5.6439999999999995e-05,5.743999999999999e-05,1e-06,False,0,,dwr_die0_upper,,test_session_die0,1.92,thermal_die0,
v4_core_4die_task,core0,core,die0,F_core0_lane2|task=die0_core0_INTEST,F,5,FPP_SHIFT_OUT,5.743999999999999e-05,9.583999999999999e-05,3.84e-05,False,2,fpp_ch0,dwr_die0_upper,,test_session_die0,1.0299999999999998,thermal_die0,
v4_core_4die_task,core2,core,die1,F_core2_lane2|task=die1_core2_INTEST,F,4,CAPTURE,7.352e-05,7.452e-05,1e-06,False,0,,dwr_die1_lower;dwr_die1_upper,,test_session_die1,2.24,thermal_die1,
v4_core_4die_task,core2,core,die1,F_core2_lane2|task=die1_core2_INTEST,F,5,FPP_SHIFT_OUT,7.452e-05,0.00013452,6e-05,False,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,test_session_die1,1.25,thermal_die1,
v4_core_4die_task,core3,core,die2,F_core3_lane2|task=die2_core3_INTEST,F,4,CAPTURE,9.38e-05,9.48e-05,1e-06,False,0,,dwr_die2_lower;dwr_die2_upper,,test_session_die2,2.7600000000000002,thermal_die2,
v4_core_4die_task,core3,core,die2,F_core3_lane2|task=die2_core3_INTEST,F,5,FPP_SHIFT_OUT,9.48e-05,0.0001812,8.64e-05,False,2,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,test_session_die2,1.42,thermal_die2,
v4_core_4die_task,core1,core,die0,F_core1_lane2|task=die0_core1_INTEST,F,0,CONFIG_ACCESS_PATH,9.583999999999999e-05,9.775999999999999e-05,1.92e-06,True,0,,dwr_die0_upper,,,0.1,thermal_die0,
v4_core_4die_task,core1,core,die0,F_core1_lane2|task=die0_core1_INTEST,F,1,CONFIG_FPP,9.775999999999999e-05,9.903999999999999e-05,1.28e-06,True,0,fpp_ch0,dwr_die0_upper,,,0.1,thermal_die0,
v4_core_4die_task,core1,core,die0,F_core1_lane2|task=die0_core1_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,9.903999999999999e-05,0.00010035999999999998,1.32e-06,True,0,,dwr_die0_upper,,,0.1,thermal_die0,
v4_core_4die_task,core1,core,die0,F_core1_lane2|task=die0_core1_INTEST,F,3,FPP_SHIFT_IN,0.00010035999999999998,0.00012535999999999998,2.5e-05,False,2,fpp_ch0,dwr_die0_upper,,test_session_die0,0.91,thermal_die0,
v4_core_4die_task,core4,core,die3,F_core4_lane2|task=die3_core4_INTEST,F,4,CAPTURE,0.0001128,0.0001138,1e-06,False,0,,dwr_die3_lower,,test_session_die3,2.7600000000000002,thermal_die3,
v4_core_4die_task,core4,core,die3,F_core4_lane2|task=die3_core4_INTEST,F,5,FPP_SHIFT_OUT,0.0001138,0.0002002,8.64e-05,False,2,fpp_ch0,dwr_die3_lower,,test_session_die3,1.42,thermal_die3,
v4_core_4die_task,core1,core,die0,F_core1_lane2|task=die0_core1_INTEST,F,4,CAPTURE,0.00012535999999999998,0.00012635999999999998,1e-06,False,0,,dwr_die0_upper,,test_session_die0,1.6,thermal_die0,
v4_core_4die_task,core1,core,die0,F_core1_lane2|task=die0_core1_INTEST,F,5,FPP_SHIFT_OUT,0.00012635999999999998,0.00015136,2.5e-05,False,2,fpp_ch0,dwr_die0_upper,,test_session_die0,0.91,thermal_die0,
v4_core_4die_task,memory1,memory,die1,F_memory1_lane2|task=die1_memory1_INTEST,F,0,CONFIG_ACCESS_PATH,0.00013452,0.00013772,3.2e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,,0.1,thermal_die1,
v4_core_4die_task,memory1,memory,die1,F_memory1_lane2|task=die1_memory1_INTEST,F,1,CONFIG_FPP,0.00013772,0.000139,1.28e-06,True,0,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,,0.1,thermal_die1,
v4_core_4die_task,memory1,memory,die1,F_memory1_lane2|task=die1_memory1_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,0.000139,0.00014063999999999998,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,,0.1,thermal_die1,
v4_core_4die_task,memory1,memory,die1,F_memory1_lane2|task=die1_memory1_INTEST,F,3,FPP_SHIFT_IN,0.00014063999999999998,0.00015343999999999997,1.28e-05,False,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,test_session_die1,0.86,thermal_die1,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2|task=die0_memory0_INTEST,F,0,CONFIG_ACCESS_PATH,0.00015136,0.00015328,1.92e-06,True,0,,dwr_die0_upper,,,0.08,thermal_die0,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2|task=die0_memory0_INTEST,F,1,CONFIG_FPP,0.00015328,0.00015455999999999998,1.28e-06,True,0,fpp_ch0,dwr_die0_upper,,,0.08,thermal_die0,
v4_core_4die_task,memory1,memory,die1,F_memory1_lane2|task=die1_memory1_INTEST,F,4,CAPTURE,0.00015343999999999997,0.00015443999999999996,1e-06,False,0,,dwr_die1_lower;dwr_die1_upper,,test_session_die1,1.7000000000000002,thermal_die1,
v4_core_4die_task,memory1,memory,die1,F_memory1_lane2|task=die1_memory1_INTEST,F,5,FPP_SHIFT_OUT,0.00015443999999999996,0.00016723999999999998,1.28e-05,False,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,test_session_die1,0.86,thermal_die1,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2|task=die0_memory0_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,0.00015455999999999998,0.00015587999999999998,1.32e-06,True,0,,dwr_die0_upper,,,0.08,thermal_die0,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2|task=die0_memory0_INTEST,F,3,FPP_SHIFT_IN,0.00015587999999999998,0.00016337999999999997,7.5e-06,False,2,fpp_ch0,dwr_die0_upper,,test_session_die0,0.7399999999999999,thermal_die0,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2|task=die0_memory0_INTEST,F,4,CAPTURE,0.00016337999999999997,0.00016437999999999997,1e-06,False,0,,dwr_die0_upper,,test_session_die0,1.28,thermal_die0,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2|task=die0_memory0_INTEST,F,5,FPP_SHIFT_OUT,0.00016437999999999997,0.00017187999999999996,7.5e-06,False,2,fpp_ch0,dwr_die0_upper,,test_session_die0,0.7399999999999999,thermal_die0,
v4_core_4die_task,memory1,memory,die1,B_memory1_local_bist|task=die1_memory1_BIST,B,0,CONFIG_BIST,0.00016723999999999998,0.00017299999999999998,5.76e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,,0.1,thermal_die1,
v4_core_4die_task,memory0,memory,die0,B_memory0_local_bist|task=die0_memory0_BIST,B,0,CONFIG_BIST,0.00017299999999999998,0.00017748,4.48e-06,True,0,,dwr_die0_upper,,,0.08,thermal_die0,
v4_core_4die_task,memory1,memory,die1,B_memory1_local_bist|task=die1_memory1_BIST,B,1,LOCAL_BIST_RUN,0.00017299999999999998,0.0051730000000000005,0.005,False,0,,dwr_die1_lower;dwr_die1_upper,,test_session_die1,1.4000000000000001,thermal_die1,external TAP resources released; local test session remains occupied
v4_core_4die_task,memory0,memory,die0,B_memory0_local_bist|task=die0_memory0_BIST,B,1,LOCAL_BIST_RUN,0.00017748,0.00417748,0.004,False,0,,dwr_die0_upper,,test_session_die0,1.1800000000000002,thermal_die0,external TAP resources released; local test session remains occupied
v4_core_4die_task,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest|task=die3_link_die2_die3_EXTEST,I,0,CONFIG_ACCESS_PATH,0.0002002,0.00020595999999999999,5.76e-06,True,0,,dwr_die2_upper;dwr_die3_lower,,,0.0,thermal_die3,
v4_core_4die_task,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest|task=die3_link_die2_die3_EXTEST,I,1,CONFIG_DWR_MODE,0.00020595999999999999,0.00020759999999999998,1.64e-06,True,0,,dwr_die2_upper;dwr_die3_lower,,,0.0,thermal_die3,
v4_core_4die_task,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest|task=die3_link_die2_die3_EXTEST,I,2,DWR_SHIFT_IN,0.00020759999999999998,0.00028952,8.192e-05,True,0,,dwr_die2_upper;dwr_die3_lower,tsv_die2_die3,interconnect_session_tsv_die2_die3,0.55,thermal_die3,
