case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_core_4die_task,core3,core,die2,S_core3_serial,S,0,CONFIG_ACCESS_PATH,0.0,4.48e-06,4.48e-06,True,0,,dwr_die2_lower;dwr_die2_upper,,,0.16,thermal_die2,
v4_core_4die_task,core4,core,die3,S_core4_serial,S,0,CONFIG_ACCESS_PATH,4.48e-06,1.024e-05,5.76e-06,True,0,,dwr_die3_lower,,,0.16,thermal_die3,
v4_core_4die_task,memory1,memory,die1,S_memory1_serial,S,0,CONFIG_ACCESS_PATH,1.024e-05,1.344e-05,3.2e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,,0.1,thermal_die1,
v4_core_4die_task,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,0,CONFIG_ACCESS_PATH,1.344e-05,1.792e-05,4.48e-06,True,0,,dwr_die1_upper;dwr_die2_lower,,,0.0,thermal_die2,
v4_core_4die_task,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,1,CONFIG_DWR_MODE,1.792e-05,1.956e-05,1.64e-06,True,0,,dwr_die1_upper;dwr_die2_lower,,,0.0,thermal_die2,
v4_core_4die_task,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,2,DWR_SHIFT_IN,1.956e-05,0.00010148,8.192e-05,True,0,,dwr_die1_upper;dwr_die2_lower,tsv_die1_die2,interconnect_session_tsv_die1_die2,0.5,thermal_die2,
v4_core_4die_task,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,3,DWR_CAPTURE,0.00010148,0.00010248,1e-06,False,0,,dwr_die1_upper;dwr_die2_lower,tsv_die1_die2,interconnect_session_tsv_die1_die2,0.5,thermal_die2,
v4_core_4die_task,core4,core,die3,S_core4_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.00010148,0.0001028,1.32e-06,True,0,,dwr_die3_lower,,,0.16,thermal_die3,
v4_core_4die_task,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,0,CONFIG_ACCESS_PATH,0.0001028,0.000106,3.2e-06,True,0,,dwr_die0_upper;dwr_die1_lower,,,0.0,thermal_die1,
v4_core_4die_task,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,1,CONFIG_DWR_MODE,0.000106,0.00010764,1.64e-06,True,0,,dwr_die0_upper;dwr_die1_lower,,,0.0,thermal_die1,
v4_core_4die_task,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,2,DWR_SHIFT_IN,0.00010764,0.00018956,8.192e-05,True,0,,dwr_die0_upper;dwr_die1_lower,mbump_die0_die1,interconnect_session_mbump_die0_die1,0.45,thermal_die1,
v4_core_4die_task,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,3,DWR_CAPTURE,0.00018956,0.00019056,1e-06,False,0,,dwr_die0_upper;dwr_die1_lower,mbump_die0_die1,interconnect_session_mbump_die0_die1,0.45,thermal_die1,
v4_core_4die_task,core3,core,die2,S_core3_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.00018956,0.0001912,1.64e-06,True,0,,dwr_die2_lower;dwr_die2_upper,,,0.16,thermal_die2,
v4_core_4die_task,core2,core,die1,S_core2_serial,S,0,CONFIG_ACCESS_PATH,0.0001912,0.0001944,3.2e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,,0.14,thermal_die1,
v4_core_4die_task,core2,core,die1,S_core2_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.0001944,0.00019604,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,,0.14,thermal_die1,
v4_core_4die_task,core2,core,die1,S_core2_serial,S,2,SERIAL_SHIFT_IN,0.00019604,0.00979604,0.0096,True,0,,dwr_die1_lower;dwr_die1_upper,,test_session_die1,1.19,thermal_die1,
v4_core_4die_task,core2,core,die1,S_core2_serial,S,3,CAPTURE,0.00979604,0.00979704,1e-06,False,0,,dwr_die1_lower;dwr_die1_upper,,test_session_die1,2.24,thermal_die1,
