case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_2_5d_interposer,mem1_die1,memory,die1,B_mem1_die1_local_bist,B,0,CONFIG_BIST,0.0,5.12e-06,5.12e-06,True,0,,dwr_die1,,,0.08,thermal_die1,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial,S,0,CONFIG_ACCESS_PATH,5.12e-06,7.04e-06,1.92e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,mem1_die1,memory,die1,B_mem1_die1_local_bist,B,1,LOCAL_BIST_RUN,5.12e-06,0.00550512,0.0055,False,0,,dwr_die1,,test_session_die1,3.08,thermal_die1,external TAP resources released; local test session remains occupied
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,7.04e-06,8.36e-06,1.32e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial,S,2,SERIAL_SHIFT_IN,8.36e-06,0.48400836,0.484,True,0,,dwr_die0,,test_session_die0,1.73,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial,S,3,CAPTURE,0.48400836,0.48400936,1e-06,False,0,,dwr_die0,,test_session_die0,2.83,thermal_die0,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,0,CONFIG_ACCESS_PATH,0.48400836,0.48401156,3.2e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.48401156,0.48401288,1.32e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,2,SERIAL_SHIFT_IN,0.48401288,0.88401288,0.4,True,0,,dwr_die1,,test_session_die1,1.62,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,3,CAPTURE,0.88401288,0.88401388,1e-06,False,0,,dwr_die1,,test_session_die1,2.62,thermal_die1,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial,S,0,CONFIG_ACCESS_PATH,0.88401288,0.88401608,3.2e-06,True,0,,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.88401608,0.8840174,1.32e-06,True,0,,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial,S,2,SERIAL_SHIFT_IN,0.8840174,1.2830174,0.399,True,0,,dwr_die2,,test_session_die2,1.67,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial,S,3,CAPTURE,1.2830174,1.2830184,1e-06,False,0,,dwr_die2,,test_session_die2,2.67,thermal_die2,
