case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_2_5d_interposer,mem0_die0,memory,die0,B_mem0_die0_local_bist|task=die0_mem0_die0_BIST,B,0,CONFIG_BIST,0.0,3.84e-06,3.84e-06,True,0,,dwr_die0,,,0.09,thermal_die0,
v4_4die_2_5d_interposer,mem2_die2,memory,die2,B_mem2_die2_local_bist|task=die2_mem2_die2_BIST,B,0,CONFIG_BIST,3.84e-06,8.959999999999999e-06,5.12e-06,True,0,,dwr_die2,,,0.08,thermal_die2,
v4_4die_2_5d_interposer,mem0_die0,memory,die0,B_mem0_die0_local_bist|task=die0_mem0_die0_BIST,B,1,LOCAL_BIST_RUN,3.84e-06,0.00700384,0.007,False,0,,dwr_die0,,test_session_die0,3.59,thermal_die0,external TAP resources released; local test session remains occupied
v4_4die_2_5d_interposer,mem1_die1,memory,die1,B_mem1_die1_local_bist|task=die1_mem1_die1_BIST,B,0,CONFIG_BIST,8.959999999999999e-06,1.4079999999999999e-05,5.12e-06,True,0,,dwr_die1,,,0.08,thermal_die1,
v4_4die_2_5d_interposer,mem2_die2,memory,die2,B_mem2_die2_local_bist|task=die2_mem2_die2_BIST,B,1,LOCAL_BIST_RUN,8.959999999999999e-06,0.00600896,0.006,False,0,,dwr_die2,,test_session_die2,3.38,thermal_die2,external TAP resources released; local test session remains occupied
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial|task=die3_core5_die3_INTEST,S,0,CONFIG_ACCESS_PATH,1.4079999999999999e-05,1.7279999999999997e-05,3.2e-06,True,0,,dwr_die3,,,0.1,thermal_die3,
v4_4die_2_5d_interposer,mem1_die1,memory,die1,B_mem1_die1_local_bist|task=die1_mem1_die1_BIST,B,1,LOCAL_BIST_RUN,1.4079999999999999e-05,0.005514079999999999,0.0055,False,0,,dwr_die1,,test_session_die1,3.08,thermal_die1,external TAP resources released; local test session remains occupied
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial|task=die3_core5_die3_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,1.7279999999999997e-05,1.8599999999999998e-05,1.32e-06,True,0,,dwr_die3,,,0.1,thermal_die3,
v4_4die_2_5d_interposer,instr0_die2,instrument,die2,IJTAG_instr0_die2_serial|task=die2_instr0_die2_IJTAG,IJTAG,0,CONFIG_ACCESS_PATH,1.8599999999999998e-05,2.1799999999999998e-05,3.2e-06,True,0,,,,,0.04,thermal_die2,
v4_4die_2_5d_interposer,instr0_die2,instrument,die2,IJTAG_instr0_die2_serial|task=die2_instr0_die2_IJTAG,IJTAG,1,ACCESS_INSTRUMENT,2.1799999999999998e-05,2.2119999999999998e-05,3.2e-07,True,0,,,,,0.04,thermal_die2,
v4_4die_2_5d_interposer,instr0_die2,instrument,die2,IJTAG_instr0_die2_serial|task=die2_instr0_die2_IJTAG,IJTAG,2,READ_INSTRUMENT,2.2119999999999998e-05,2.276e-05,6.4e-07,True,0,,,,,0.04,thermal_die2,
v4_4die_2_5d_interposer,mem1_die1,memory,die1,B_mem1_die1_local_bist|task=die1_mem1_die1_BIST,B,2,READ_BIST_RESULT,0.005514079999999999,0.005518239999999999,4.16e-06,True,0,,dwr_die1,,,0.08,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,0,CONFIG_ACCESS_PATH,0.005518239999999999,0.005521439999999999,3.2e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,0.005521439999999999,0.005522759999999999,1.32e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,link_die1_die3,interconnect,die1,I_link_die1_die3_serial_extest|task=die1_link_die1_die3_EXTEST,I,0,CONFIG_ACCESS_PATH,0.005522759999999999,0.005525959999999999,3.2e-06,True,0,,dwr_die1;dwr_die3,,,0.0,thermal_die1,
v4_4die_2_5d_interposer,link_die1_die3,interconnect,die1,I_link_die1_die3_serial_extest|task=die1_link_die1_die3_EXTEST,I,1,CONFIG_DWR_MODE,0.005525959999999999,0.005527599999999999,1.64e-06,True,0,,dwr_die1;dwr_die3,,,0.0,thermal_die1,
v4_4die_2_5d_interposer,link_die1_die3,interconnect,die1,I_link_die1_die3_serial_extest|task=die1_link_die1_die3_EXTEST,I,2,DWR_SHIFT_IN,0.005527599999999999,0.005814319999999999,0.00028672,True,0,,dwr_die1;dwr_die3,interposer_v_die1_die3,interconnect_session_interposer_v_die1_die3,0.29,thermal_die1,
v4_4die_2_5d_interposer,link_die1_die3,interconnect,die1,I_link_die1_die3_serial_extest|task=die1_link_die1_die3_EXTEST,I,3,DWR_CAPTURE,0.005814319999999999,0.005815319999999999,1e-06,False,0,,dwr_die1;dwr_die3,interposer_v_die1_die3,interconnect_session_interposer_v_die1_die3,0.29,thermal_die1,
v4_4die_2_5d_interposer,mem2_die2,memory,die2,B_mem2_die2_local_bist|task=die2_mem2_die2_BIST,B,2,READ_BIST_RESULT,0.00600896,0.006013119999999999,4.16e-06,True,0,,dwr_die2,,,0.08,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial|task=die2_core3_die2_INTEST,S,0,CONFIG_ACCESS_PATH,0.006013119999999999,0.0060163199999999995,3.2e-06,True,0,,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial|task=die2_core3_die2_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,0.0060163199999999995,0.0060176399999999994,1.32e-06,True,0,,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core4_die2,core,die2,S_core4_die2_serial|task=die2_core4_die2_INTEST,S,0,CONFIG_ACCESS_PATH,0.0060176399999999994,0.0060208399999999995,3.2e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_2_5d_interposer,core4_die2,core,die2,S_core4_die2_serial|task=die2_core4_die2_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,0.0060208399999999995,0.0060221599999999995,1.32e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_2_5d_interposer,link_die2_die3,interconnect,die2,I_link_die2_die3_serial_extest|task=die2_link_die2_die3_EXTEST,I,0,CONFIG_ACCESS_PATH,0.0060221599999999995,0.00602536,3.2e-06,True,0,,dwr_die2;dwr_die3,,,0.0,thermal_die2,
v4_4die_2_5d_interposer,link_die2_die3,interconnect,die2,I_link_die2_die3_serial_extest|task=die2_link_die2_die3_EXTEST,I,1,CONFIG_DWR_MODE,0.00602536,0.006026999999999999,1.64e-06,True,0,,dwr_die2;dwr_die3,,,0.0,thermal_die2,
v4_4die_2_5d_interposer,link_die2_die3,interconnect,die2,I_link_die2_die3_serial_extest|task=die2_link_die2_die3_EXTEST,I,2,DWR_SHIFT_IN,0.006026999999999999,0.006334199999999999,0.0003072,True,0,,dwr_die2;dwr_die3,interposer_h_die2_die3,interconnect_session_interposer_h_die2_die3,0.31,thermal_die2,
v4_4die_2_5d_interposer,link_die2_die3,interconnect,die2,I_link_die2_die3_serial_extest|task=die2_link_die2_die3_EXTEST,I,3,DWR_CAPTURE,0.006334199999999999,0.006335199999999999,1e-06,False,0,,dwr_die2;dwr_die3,interposer_h_die2_die3,interconnect_session_interposer_h_die2_die3,0.31,thermal_die2,
v4_4die_2_5d_interposer,link_die2_die3,interconnect,die2,I_link_die2_die3_serial_extest|task=die2_link_die2_die3_EXTEST,I,4,DWR_SHIFT_OUT,0.006335199999999999,0.006656399999999999,0.0003212,True,0,,dwr_die2;dwr_die3,interposer_h_die2_die3,interconnect_session_interposer_h_die2_die3,0.31,thermal_die2,
v4_4die_2_5d_interposer,link_die1_die3,interconnect,die1,I_link_die1_die3_serial_extest|task=die1_link_die1_die3_EXTEST,I,4,DWR_SHIFT_OUT,0.006656399999999999,0.006956719999999999,0.00030032,True,0,,dwr_die1;dwr_die3,interposer_v_die1_die3,interconnect_session_interposer_v_die1_die3,0.29,thermal_die1,
v4_4die_2_5d_interposer,mem0_die0,memory,die0,B_mem0_die0_local_bist|task=die0_mem0_die0_BIST,B,2,READ_BIST_RESULT,0.00700384,0.00700736,3.52e-06,True,0,,dwr_die0,,,0.09,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial|task=die0_core0_die0_INTEST,S,0,CONFIG_ACCESS_PATH,0.00700736,0.00700928,1.92e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial|task=die0_core0_die0_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,0.00700928,0.0070106,1.32e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial|task=die0_core0_die0_INTEST,S,2,SERIAL_SHIFT_IN,0.0070106,0.49101059999999996,0.484,True,0,,dwr_die0,,test_session_die0,1.73,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial|task=die0_core0_die0_INTEST,S,3,CAPTURE,0.49101059999999996,0.49101159999999994,1e-06,False,0,,dwr_die0,,test_session_die0,2.83,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial|task=die0_core0_die0_INTEST,S,4,SERIAL_SHIFT_OUT,0.49101159999999994,0.9750175999999999,0.484006,True,0,,dwr_die0,,test_session_die0,1.73,thermal_die0,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,2,SERIAL_SHIFT_IN,0.9750175999999999,1.3750176,0.4,True,0,,dwr_die1,,test_session_die1,1.62,thermal_die1,
