case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,0,CONFIG_ACCESS_PATH,0.0,3.2e-06,3.2e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,core4_die2,core,die2,F_core4_die2_lane16,F,0,CONFIG_ACCESS_PATH,3.2e-06,6.4e-06,3.2e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_2_5d_interposer,core4_die2,core,die2,F_core4_die2_lane16,F,1,CONFIG_FPP,6.4e-06,7.68e-06,1.28e-06,True,0,fpp_interposer,dwr_die2,,,0.1,thermal_die2,
v4_4die_2_5d_interposer,core4_die2,core,die2,F_core4_die2_lane16,F,2,CONFIG_SCAN_OR_DWR_MODE,7.68e-06,9e-06,1.32e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_2_5d_interposer,core1_die0,core,die0,F_core1_die0_lane16,F,0,CONFIG_ACCESS_PATH,9e-06,1.092e-05,1.92e-06,True,0,,dwr_die0,,,0.11,thermal_die0,
v4_4die_2_5d_interposer,core4_die2,core,die2,F_core4_die2_lane16,F,3,FPP_SHIFT_IN,9e-06,0.00017775,0.00016875,False,16,fpp_interposer,dwr_die2,,test_session_die2,1.8800000000000001,thermal_die2,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane2,F,0,CONFIG_ACCESS_PATH,1.092e-05,1.284e-05,1.92e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core1_die0,core,die0,F_core1_die0_lane16,F,1,CONFIG_FPP,1.284e-05,1.412e-05,1.28e-06,True,0,fpp_interposer,dwr_die0,,,0.11,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane2,F,1,CONFIG_FPP,1.412e-05,1.54e-05,1.28e-06,True,0,fpp_interposer,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane2,F,2,CONFIG_SCAN_OR_DWR_MODE,1.54e-05,1.672e-05,1.32e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core1_die0,core,die0,F_core1_die0_lane16,F,2,CONFIG_SCAN_OR_DWR_MODE,1.672e-05,1.804e-05,1.32e-06,True,0,,dwr_die0,,,0.11,thermal_die0,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,1.804e-05,1.936e-05,1.32e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial,S,0,CONFIG_ACCESS_PATH,1.936e-05,2.256e-05,3.2e-06,True,0,,dwr_die3,,,0.1,thermal_die3,
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,2.256e-05,2.388e-05,1.32e-06,True,0,,dwr_die3,,,0.1,thermal_die3,
v4_4die_2_5d_interposer,link_die1_die3,interconnect,die1,I_link_die1_die3_serial_extest,I,0,CONFIG_ACCESS_PATH,2.388e-05,2.708e-05,3.2e-06,True,0,,dwr_die1;dwr_die3,,,0.0,thermal_die1,
v4_4die_2_5d_interposer,link_die1_die3,interconnect,die1,I_link_die1_die3_serial_extest,I,1,CONFIG_DWR_MODE,2.708e-05,2.872e-05,1.64e-06,True,0,,dwr_die1;dwr_die3,,,0.0,thermal_die1,
v4_4die_2_5d_interposer,link_die1_die3,interconnect,die1,I_link_die1_die3_serial_extest,I,2,DWR_SHIFT_IN,2.872e-05,0.00031544,0.00028672,True,0,,dwr_die1;dwr_die3,interposer_v_die1_die3,interconnect_session_interposer_v_die1_die3,0.29,thermal_die1,
v4_4die_2_5d_interposer,core4_die2,core,die2,F_core4_die2_lane16,F,4,CAPTURE,0.00017775,0.00017875,1e-06,False,0,,dwr_die2,,test_session_die2,2.25,thermal_die2,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane2,F,3,FPP_SHIFT_IN,0.00017775,0.00259775,0.00242,False,2,fpp_interposer,dwr_die0,,test_session_die0,1.79,thermal_die0,
v4_4die_2_5d_interposer,link_die1_die3,interconnect,die1,I_link_die1_die3_serial_extest,I,3,DWR_CAPTURE,0.00031544,0.00031644,1e-06,False,0,,dwr_die1;dwr_die3,interposer_v_die1_die3,interconnect_session_interposer_v_die1_die3,0.29,thermal_die1,
v4_4die_2_5d_interposer,core3_die2,core,die2,F_core3_die2_lane16,F,0,CONFIG_ACCESS_PATH,0.00031544,0.00031864,3.2e-06,True,0,,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,F_core3_die2_lane16,F,1,CONFIG_FPP,0.00031864,0.00031992,1.28e-06,True,0,fpp_interposer,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,F_core3_die2_lane16,F,2,CONFIG_SCAN_OR_DWR_MODE,0.00031992,0.00032124,1.32e-06,True,0,,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,2,SERIAL_SHIFT_IN,0.00032124,0.40032124,0.4,True,0,,dwr_die1,,test_session_die1,1.62,thermal_die1,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane2,F,4,CAPTURE,0.00259775,0.00259875,1e-06,False,0,,dwr_die0,,test_session_die0,2.83,thermal_die0,
v4_4die_2_5d_interposer,core3_die2,core,die2,F_core3_die2_lane16,F,3,FPP_SHIFT_IN,0.00259775,0.002847125,0.000249375,False,16,fpp_interposer,dwr_die2,,test_session_die2,2.1500000000000004,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,F_core3_die2_lane16,F,4,CAPTURE,0.002847125,0.002848125,1e-06,False,0,,dwr_die2,,test_session_die2,2.67,thermal_die2,
v4_4die_2_5d_interposer,core1_die0,core,die0,F_core1_die0_lane16,F,3,FPP_SHIFT_IN,0.002847125,0.003049,0.000201875,False,16,fpp_interposer,dwr_die0,,test_session_die0,1.99,thermal_die0,
v4_4die_2_5d_interposer,core1_die0,core,die0,F_core1_die0_lane16,F,4,CAPTURE,0.003049,0.00305,1e-06,False,0,,dwr_die0,,test_session_die0,2.4099999999999997,thermal_die0,
v4_4die_2_5d_interposer,core3_die2,core,die2,F_core3_die2_lane16,F,5,FPP_SHIFT_OUT,0.003049,0.003298375,0.000249375,False,16,fpp_interposer,dwr_die2,,test_session_die2,2.1500000000000004,thermal_die2,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane2,F,5,FPP_SHIFT_OUT,0.003298375,0.005718375,0.00242,False,2,fpp_interposer,dwr_die0,,test_session_die0,1.79,thermal_die0,
v4_4die_2_5d_interposer,core1_die0,core,die0,F_core1_die0_lane16,F,5,FPP_SHIFT_OUT,0.005718375,0.00592025,0.000201875,False,16,fpp_interposer,dwr_die0,,test_session_die0,1.99,thermal_die0,
v4_4die_2_5d_interposer,core4_die2,core,die2,F_core4_die2_lane16,F,5,FPP_SHIFT_OUT,0.00592025,0.006089,0.00016875,False,16,fpp_interposer,dwr_die2,,test_session_die2,1.8800000000000001,thermal_die2,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,3,CAPTURE,0.40032124,0.40032224,1e-06,False,0,,dwr_die1,,test_session_die1,2.62,thermal_die1,
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial,S,2,SERIAL_SHIFT_IN,0.40032124,0.63832124,0.238,True,0,,dwr_die3,,test_session_die3,1.4500000000000002,thermal_die3,
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial,S,3,CAPTURE,0.63832124,0.63832224,1e-06,False,0,,dwr_die3,,test_session_die3,2.35,thermal_die3,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,4,SERIAL_SHIFT_OUT,0.63832124,1.03832764,0.4000064,True,0,,dwr_die1,,test_session_die1,1.62,thermal_die1,
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial,S,4,SERIAL_SHIFT_OUT,1.03832764,1.27633484,0.2380072,True,0,,dwr_die3,,test_session_die3,1.4500000000000002,thermal_die3,
v4_4die_2_5d_interposer,link_die2_die3,interconnect,die2,I_link_die2_die3_serial_extest,I,0,CONFIG_ACCESS_PATH,1.27633484,1.27633804,3.2e-06,True,0,,dwr_die2;dwr_die3,,,0.0,thermal_die2,
v4_4die_2_5d_interposer,link_die2_die3,interconnect,die2,I_link_die2_die3_serial_extest,I,1,CONFIG_DWR_MODE,1.27633804,1.27633968,1.64e-06,True,0,,dwr_die2;dwr_die3,,,0.0,thermal_die2,
v4_4die_2_5d_interposer,link_die2_die3,interconnect,die2,I_link_die2_die3_serial_extest,I,2,DWR_SHIFT_IN,1.27633968,1.27664688,0.0003072,True,0,,dwr_die2;dwr_die3,interposer_h_die2_die3,interconnect_session_interposer_h_die2_die3,0.31,thermal_die2,
v4_4die_2_5d_interposer,link_die0_die2,interconnect,die0,I_link_die0_die2_serial_extest,I,0,CONFIG_ACCESS_PATH,1.27664688,1.2766488,1.92e-06,True,0,,dwr_die0;dwr_die2,,,0.0,thermal_die0,
v4_4die_2_5d_interposer,link_die0_die2,interconnect,die0,I_link_die0_die2_serial_extest,I,1,CONFIG_DWR_MODE,1.2766488,1.27665044,1.64e-06,True,0,,dwr_die0;dwr_die2,,,0.0,thermal_die0,
v4_4die_2_5d_interposer,link_die0_die2,interconnect,die0,I_link_die0_die2_serial_extest,I,2,DWR_SHIFT_IN,1.27665044,1.27691668,0.00026624,True,0,,dwr_die0;dwr_die2,interposer_v_die0_die2,interconnect_session_interposer_v_die0_die2,0.27,thermal_die0,
v4_4die_2_5d_interposer,link_die2_die3,interconnect,die2,I_link_die2_die3_serial_extest,I,3,DWR_CAPTURE,1.27691668,1.27691768,1e-06,False,0,,dwr_die2;dwr_die3,interposer_h_die2_die3,interconnect_session_interposer_h_die2_die3,0.31,thermal_die2,
