case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane16|task=die0_core0_die0_INTEST,F,0,CONFIG_ACCESS_PATH,0.0,1.92e-06,1.92e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane16|task=die0_core0_die0_INTEST,F,1,CONFIG_FPP,1.92e-06,3.2e-06,1.28e-06,True,0,fpp_interposer,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane16|task=die0_core0_die0_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,3.2e-06,4.52e-06,1.32e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,0,CONFIG_ACCESS_PATH,4.52e-06,7.72e-06,3.2e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane16|task=die0_core0_die0_INTEST,F,3,FPP_SHIFT_IN,4.52e-06,0.00030701999999999997,0.0003025,False,16,fpp_interposer,dwr_die0,,test_session_die0,2.21,thermal_die0,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,7.72e-06,9.040000000000002e-06,1.32e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,2,SERIAL_SHIFT_IN,9.040000000000002e-06,0.40000904000000004,0.4,True,0,,dwr_die1,,test_session_die1,1.62,thermal_die1,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane16|task=die0_core0_die0_INTEST,F,4,CAPTURE,0.00030701999999999997,0.00030802,1e-06,False,0,,dwr_die0,,test_session_die0,2.83,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,F_core0_die0_lane16|task=die0_core0_die0_INTEST,F,5,FPP_SHIFT_OUT,0.00030802,0.00061052,0.0003025,False,16,fpp_interposer,dwr_die0,,test_session_die0,2.21,thermal_die0,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,3,CAPTURE,0.40000904000000004,0.40001004,1e-06,False,0,,dwr_die1,,test_session_die1,2.62,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,4,SERIAL_SHIFT_OUT,0.40001004,0.80001644,0.4000064,True,0,,dwr_die1,,test_session_die1,1.62,thermal_die1,
v4_4die_2_5d_interposer,core3_die2,core,die2,F_core3_die2_lane16|task=die2_core3_die2_INTEST,F,0,CONFIG_ACCESS_PATH,0.80001644,0.80001964,3.2e-06,True,0,,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,F_core3_die2_lane16|task=die2_core3_die2_INTEST,F,1,CONFIG_FPP,0.80001964,0.80002092,1.28e-06,True,0,fpp_interposer,dwr_die2,,,0.12,thermal_die2,
