case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial,S,0,CONFIG_ACCESS_PATH,0.0,1.92e-06,1.92e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,1.92e-06,3.24e-06,1.32e-06,True,0,,dwr_die0,,,0.13,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial,S,2,SERIAL_SHIFT_IN,3.24e-06,0.48400324,0.484,True,0,,dwr_die0,,test_session_die0,1.73,thermal_die0,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial,S,3,CAPTURE,0.48400324,0.48400424,1e-06,False,0,,dwr_die0,,test_session_die0,2.83,thermal_die0,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,0,CONFIG_ACCESS_PATH,0.48400324,0.48400644,3.2e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.48400644,0.48400776,1.32e-06,True,0,,dwr_die1,,,0.12,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,2,SERIAL_SHIFT_IN,0.48400776,0.88400776,0.4,True,0,,dwr_die1,,test_session_die1,1.62,thermal_die1,
v4_4die_2_5d_interposer,core2_die1,core,die1,S_core2_die1_serial,S,3,CAPTURE,0.88400776,0.88400876,1e-06,False,0,,dwr_die1,,test_session_die1,2.62,thermal_die1,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial,S,0,CONFIG_ACCESS_PATH,0.88400776,0.88401096,3.2e-06,True,0,,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.88401096,0.88401228,1.32e-06,True,0,,dwr_die2,,,0.12,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial,S,2,SERIAL_SHIFT_IN,0.88401228,1.28301228,0.399,True,0,,dwr_die2,,test_session_die2,1.67,thermal_die2,
v4_4die_2_5d_interposer,core3_die2,core,die2,S_core3_die2_serial,S,3,CAPTURE,1.28301228,1.28301328,1e-06,False,0,,dwr_die2,,test_session_die2,2.67,thermal_die2,
v4_4die_2_5d_interposer,core1_die0,core,die0,S_core1_die0_serial,S,0,CONFIG_ACCESS_PATH,1.28301228,1.2830142,1.92e-06,True,0,,dwr_die0,,,0.11,thermal_die0,
v4_4die_2_5d_interposer,core1_die0,core,die0,S_core1_die0_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,1.2830142,1.28301552,1.32e-06,True,0,,dwr_die0,,,0.11,thermal_die0,
v4_4die_2_5d_interposer,core1_die0,core,die0,S_core1_die0_serial,S,2,SERIAL_SHIFT_IN,1.28301552,1.60601552,0.323,True,0,,dwr_die0,,test_session_die0,1.51,thermal_die0,
v4_4die_2_5d_interposer,core1_die0,core,die0,S_core1_die0_serial,S,3,CAPTURE,1.60601552,1.60601652,1e-06,False,0,,dwr_die0,,test_session_die0,2.4099999999999997,thermal_die0,
v4_4die_2_5d_interposer,core4_die2,core,die2,S_core4_die2_serial,S,0,CONFIG_ACCESS_PATH,1.60601552,1.60601872,3.2e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_2_5d_interposer,core4_die2,core,die2,S_core4_die2_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,1.60601872,1.60602004,1.32e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_2_5d_interposer,core4_die2,core,die2,S_core4_die2_serial,S,2,SERIAL_SHIFT_IN,1.60602004,1.87602004,0.27,True,0,,dwr_die2,,test_session_die2,1.4000000000000001,thermal_die2,
v4_4die_2_5d_interposer,core4_die2,core,die2,S_core4_die2_serial,S,3,CAPTURE,1.87602004,1.87602104,1e-06,False,0,,dwr_die2,,test_session_die2,2.25,thermal_die2,
v4_4die_2_5d_interposer,core0_die0,core,die0,S_core0_die0_serial,S,4,SERIAL_SHIFT_OUT,1.87602004,2.36002604,0.484006,True,0,,dwr_die0,,test_session_die0,1.73,thermal_die0,
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial,S,0,CONFIG_ACCESS_PATH,2.36002604,2.36002924,3.2e-06,True,0,,dwr_die3,,,0.1,thermal_die3,
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,2.36002924,2.36003056,1.32e-06,True,0,,dwr_die3,,,0.1,thermal_die3,
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial,S,2,SERIAL_SHIFT_IN,2.36003056,2.59803056,0.238,True,0,,dwr_die3,,test_session_die3,1.4500000000000002,thermal_die3,
v4_4die_2_5d_interposer,core5_die3,core,die3,S_core5_die3_serial,S,3,CAPTURE,2.59803056,2.59803156,1e-06,False,0,,dwr_die3,,test_session_die3,2.35,thermal_die3,
