case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,0,CONFIG_ACCESS_PATH,0.0,3.2e-06,3.2e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,0,CONFIG_ACCESS_PATH,3.2e-06,6.4e-06,3.2e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,6.4e-06,7.72e-06,1.32e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,0,CONFIG_ACCESS_PATH,7.72e-06,1.22e-05,4.48e-06,True,0,,dwr_die3,,,0.09,thermal_die3,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane8,F,0,CONFIG_ACCESS_PATH,1.22e-05,1.412e-05,1.92e-06,True,0,,dwr_die0,,,0.1,thermal_die0,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane8,F,1,CONFIG_FPP,1.412e-05,1.54e-05,1.28e-06,True,0,fpp_3d_stack,dwr_die0,,,0.1,thermal_die0,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,1.54e-05,1.672e-05,1.32e-06,True,0,,dwr_die3,,,0.09,thermal_die3,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane8,F,2,CONFIG_SCAN_OR_DWR_MODE,1.672e-05,1.804e-05,1.32e-06,True,0,,dwr_die0,,,0.1,thermal_die0,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane8,F,3,FPP_SHIFT_IN,1.804e-05,0.00046804,0.00045,False,8,fpp_3d_stack,dwr_die0,,test_session_die0,1.6400000000000001,thermal_die0,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,2,SERIAL_SHIFT_IN,1.804e-05,0.19501804,0.195,True,0,,dwr_die3,,test_session_die3,1.29,thermal_die3,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane8,F,4,CAPTURE,0.011800001,0.011801001,1e-06,False,0,,dwr_die0,,test_session_die0,2.3000000000000003,thermal_die0,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane8,F,5,FPP_SHIFT_OUT,0.011801001,0.012251001,0.00045,False,8,fpp_3d_stack,dwr_die0,,test_session_die0,1.6400000000000001,thermal_die0,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,2,SERIAL_SHIFT_IN,0.19501804,0.57901804,0.384,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,3,CAPTURE,0.57901352,0.57901452,1e-06,False,0,,dwr_die3,,test_session_die3,2.09,thermal_die3,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,3,CAPTURE,0.57901804,0.57901904,1e-06,False,0,,dwr_die1,,test_session_die1,2.4099999999999997,thermal_die1,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,1,CONFIG_FPP,0.57901804,0.57901932,1.28e-06,True,0,fpp_3d_stack,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,4,SERIAL_SHIFT_OUT,0.57901932,0.96302492,0.3840056,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
