case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,0,CONFIG_ACCESS_PATH,0.0,3.2e-06,3.2e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,1,CONFIG_FPP,3.2e-06,4.48e-06,1.28e-06,True,0,fpp_3d_stack,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,0,CONFIG_ACCESS_PATH,4.48e-06,7.68e-06,3.2e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,0,CONFIG_ACCESS_PATH,7.68e-06,9.6e-06,1.92e-06,True,0,,dwr_die0,,,0.12,thermal_die0,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,0,CONFIG_ACCESS_PATH,9.6e-06,1.28e-05,3.2e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,1,CONFIG_FPP,1.28e-05,1.408e-05,1.28e-06,True,0,fpp_3d_stack,dwr_die0,,,0.12,thermal_die0,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,1.408e-05,1.54e-05,1.32e-06,True,0,,dwr_die0,,,0.12,thermal_die0,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,1,CONFIG_FPP,1.54e-05,1.668e-05,1.28e-06,True,0,fpp_3d_stack,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,1.668e-05,1.8e-05,1.32e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,1.8e-05,1.932e-05,1.32e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,0,CONFIG_ACCESS_PATH,1.932e-05,2.38e-05,4.48e-06,True,0,,dwr_die3,,,0.09,thermal_die3,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,2.38e-05,2.512e-05,1.32e-06,True,0,,dwr_die3,,,0.09,thermal_die3,
v4_4die_3d_stack,mem1_die1,memory,die1,B_mem1_die1_local_bist,B,0,CONFIG_BIST,2.512e-05,3.024e-05,5.12e-06,True,0,,dwr_die1,,,0.07,thermal_die1,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,0,CONFIG_ACCESS_PATH,3.024e-05,3.472e-05,4.48e-06,True,0,,dwr_die2;dwr_die3,,,0.0,thermal_die3,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,1,CONFIG_DWR_MODE,3.472e-05,3.636e-05,1.64e-06,True,0,,dwr_die2;dwr_die3,,,0.0,thermal_die3,
v4_4die_3d_stack,instr0_die3,instrument,die3,IJTAG_instr0_die3_serial,IJTAG,0,CONFIG_ACCESS_PATH,3.636e-05,4.084e-05,4.48e-06,True,0,,,,,0.04,thermal_die3,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,2,DWR_SHIFT_IN,4.084e-05,0.00026612,0.00022528,True,0,,dwr_die2;dwr_die3,hbt_die2_die3,interconnect_session_hbt_die2_die3,0.38,thermal_die3,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,3,DWR_CAPTURE,0.00026612,0.00026712,1e-06,False,0,,dwr_die2;dwr_die3,hbt_die2_die3,interconnect_session_hbt_die2_die3,0.38,thermal_die3,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.00026612,0.00026744,1.32e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,4,DWR_SHIFT_OUT,0.00026744,0.00050512,0.00023768,True,0,,dwr_die2;dwr_die3,hbt_die2_die3,interconnect_session_hbt_die2_die3,0.38,thermal_die3,
v4_4die_3d_stack,mem1_die1,memory,die1,B_mem1_die1_local_bist,B,1,LOCAL_BIST_RUN,0.00026744,0.00526744,0.005,False,0,,dwr_die1,,test_session_die1,2.8699999999999997,thermal_die1,external TAP resources released; local test session remains occupied
v4_4die_3d_stack,instr0_die3,instrument,die3,IJTAG_instr0_die3_serial,IJTAG,1,ACCESS_INSTRUMENT,0.00050512,0.00050544,3.2e-07,True,0,,,,,0.04,thermal_die3,
v4_4die_3d_stack,mem0_die0,memory,die0,B_mem0_die0_local_bist,B,0,CONFIG_BIST,0.00050544,0.00050928,3.84e-06,True,0,,dwr_die0,,,0.08,thermal_die0,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane1,F,0,CONFIG_ACCESS_PATH,0.00050928,0.0005112,1.92e-06,True,0,,dwr_die0,,,0.1,thermal_die0,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane1,F,1,CONFIG_FPP,0.0005112,0.00051248,1.28e-06,True,0,fpp_3d_stack,dwr_die0,,,0.1,thermal_die0,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,0.00051248,0.0005138,1.32e-06,True,0,,dwr_die0,,,0.1,thermal_die0,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane1,F,3,FPP_SHIFT_IN,0.0005138,0.0041138,0.0036,False,1,fpp_3d_stack,dwr_die0,,test_session_die0,1.4300000000000002,thermal_die0,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,2,SERIAL_SHIFT_IN,0.0005138,0.1955138,0.195,True,0,,dwr_die3,,test_session_die3,1.29,thermal_die3,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,3,FPP_SHIFT_IN,0.00063272,0.00382022,0.0031875,False,1,fpp_3d_stack,dwr_die2,,test_session_die2,1.3800000000000001,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,4,CAPTURE,0.00382022,0.00382122,1e-06,False,0,,dwr_die2,,test_session_die2,2.2,thermal_die2,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane1,F,4,CAPTURE,0.0041138,0.0041148,1e-06,False,0,,dwr_die0,,test_session_die0,2.3000000000000003,thermal_die0,
v4_4die_3d_stack,core1_die0,core,die0,F_core1_die0_lane1,F,5,FPP_SHIFT_OUT,0.0041148,0.0077148,0.0036,False,1,fpp_3d_stack,dwr_die0,,test_session_die0,1.4300000000000002,thermal_die0,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,5,FPP_SHIFT_OUT,0.00595972,0.00914722,0.0031875,False,1,fpp_3d_stack,dwr_die2,,test_session_die2,1.3800000000000001,thermal_die2,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,3,FPP_SHIFT_IN,0.00783924,0.01283924,0.005,False,1,fpp_3d_stack,dwr_die0,,test_session_die0,1.65,thermal_die0,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,3,FPP_SHIFT_IN,0.00914722,0.01342222,0.004275,False,1,fpp_3d_stack,dwr_die2,,test_session_die2,1.59,thermal_die2,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,4,CAPTURE,0.01283924,0.01284024,1e-06,False,0,,dwr_die0,,test_session_die0,2.62,thermal_die0,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,5,FPP_SHIFT_OUT,0.01284024,0.01784024,0.005,False,1,fpp_3d_stack,dwr_die0,,test_session_die0,1.65,thermal_die0,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,4,CAPTURE,0.01342222,0.01342322,1e-06,False,0,,dwr_die2,,test_session_die2,2.51,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,5,FPP_SHIFT_OUT,0.01342322,0.01769822,0.004275,False,1,fpp_3d_stack,dwr_die2,,test_session_die2,1.59,thermal_die2,
v4_4die_3d_stack,mem0_die0,memory,die0,B_mem0_die0_local_bist,B,1,LOCAL_BIST_RUN,0.01784024,0.02384024,0.006,False,0,,dwr_die0,,test_session_die0,3.2800000000000002,thermal_die0,external TAP resources released; local test session remains occupied
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,3,CAPTURE,0.1955138,0.1955148,1e-06,False,0,,dwr_die3,,test_session_die3,2.09,thermal_die3,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,2,SERIAL_SHIFT_IN,0.1955138,0.5795138,0.384,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
v4_4die_3d_stack,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,0,CONFIG_ACCESS_PATH,0.5795138,0.579517,3.2e-06,True,0,,dwr_die0;dwr_die1,,,0.0,thermal_die1,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,0,CONFIG_ACCESS_PATH,0.579517,0.5795202,3.2e-06,True,0,,dwr_die1;dwr_die2,,,0.0,thermal_die2,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,1,CONFIG_DWR_MODE,0.5795202,0.57952184,1.64e-06,True,0,,dwr_die1;dwr_die2,,,0.0,thermal_die2,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,2,DWR_SHIFT_IN,0.57952184,0.57972664,0.0002048,True,0,,dwr_die1;dwr_die2,hbt_die1_die2,interconnect_session_hbt_die1_die2,0.35,thermal_die2,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,3,DWR_CAPTURE,0.57972664,0.57972764,1e-06,False,0,,dwr_die1;dwr_die2,hbt_die1_die2,interconnect_session_hbt_die1_die2,0.35,thermal_die2,
v4_4die_3d_stack,mem0_die0,memory,die0,B_mem0_die0_local_bist,B,2,READ_BIST_RESULT,0.57972664,0.57973016,3.52e-06,True,0,,dwr_die0,,,0.08,thermal_die0,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,3,CAPTURE,0.57972764,0.57972864,1e-06,False,0,,dwr_die1,,test_session_die1,2.4099999999999997,thermal_die1,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,4,DWR_SHIFT_OUT,0.57973016,0.57994656,0.0002164,True,0,,dwr_die1;dwr_die2,hbt_die1_die2,interconnect_session_hbt_die1_die2,0.35,thermal_die2,
v4_4die_3d_stack,mem1_die1,memory,die1,B_mem1_die1_local_bist,B,2,READ_BIST_RESULT,0.57994656,0.57995072,4.16e-06,True,0,,dwr_die1,,,0.07,thermal_die1,
v4_4die_3d_stack,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,1,CONFIG_DWR_MODE,0.57995072,0.57995236,1.64e-06,True,0,,dwr_die0;dwr_die1,,,0.0,thermal_die1,
v4_4die_3d_stack,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,2,DWR_SHIFT_IN,0.57995236,0.5801162,0.00016384,True,0,,dwr_die0;dwr_die1,hbt_die0_die1,interconnect_session_hbt_die0_die1,0.3,thermal_die1,
v4_4die_3d_stack,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,3,DWR_CAPTURE,0.5801162,0.5801172,1e-06,False,0,,dwr_die0;dwr_die1,hbt_die0_die1,interconnect_session_hbt_die0_die1,0.3,thermal_die1,
