case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_3d_stack,mem1_die1,memory,die1,B_mem1_die1_local_bist|task=die1_mem1_die1_BIST,B,0,CONFIG_BIST,0.0,5.12e-06,5.12e-06,True,0,,dwr_die1,,,0.07,thermal_die1,
v4_4die_3d_stack,mem0_die0,memory,die0,B_mem0_die0_local_bist|task=die0_mem0_die0_BIST,B,0,CONFIG_BIST,5.12e-06,8.959999999999999e-06,3.84e-06,True,0,,dwr_die0,,,0.08,thermal_die0,
v4_4die_3d_stack,mem1_die1,memory,die1,B_mem1_die1_local_bist|task=die1_mem1_die1_BIST,B,1,LOCAL_BIST_RUN,5.12e-06,0.00500512,0.005,False,0,,dwr_die1,,test_session_die1,2.8699999999999997,thermal_die1,external TAP resources released; local test session remains occupied
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial|task=die2_core3a_die2_INTEST,S,0,CONFIG_ACCESS_PATH,8.959999999999999e-06,1.2159999999999999e-05,3.2e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,mem0_die0,memory,die0,B_mem0_die0_local_bist|task=die0_mem0_die0_BIST,B,1,LOCAL_BIST_RUN,8.959999999999999e-06,0.00600896,0.006,False,0,,dwr_die0,,test_session_die0,3.2800000000000002,thermal_die0,external TAP resources released; local test session remains occupied
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial|task=die2_core3a_die2_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,1.2159999999999999e-05,1.348e-05,1.32e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,S_core3b_die2_serial|task=die2_core3b_die2_INTEST,S,0,CONFIG_ACCESS_PATH,1.348e-05,1.668e-05,3.2e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,S_core3b_die2_serial|task=die2_core3b_die2_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,1.668e-05,1.8e-05,1.32e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial|task=die3_core4_die3_INTEST,S,0,CONFIG_ACCESS_PATH,1.8e-05,2.248e-05,4.48e-06,True,0,,dwr_die3,,,0.09,thermal_die3,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial|task=die3_core4_die3_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,2.248e-05,2.3800000000000003e-05,1.32e-06,True,0,,dwr_die3,,,0.09,thermal_die3,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest|task=die3_link_die2_die3_EXTEST,I,0,CONFIG_ACCESS_PATH,2.3800000000000003e-05,2.8280000000000004e-05,4.48e-06,True,0,,dwr_die2;dwr_die3,,,0.0,thermal_die3,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest|task=die3_link_die2_die3_EXTEST,I,1,CONFIG_DWR_MODE,2.8280000000000004e-05,2.9920000000000005e-05,1.64e-06,True,0,,dwr_die2;dwr_die3,,,0.0,thermal_die3,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest|task=die3_link_die2_die3_EXTEST,I,2,DWR_SHIFT_IN,2.9920000000000005e-05,0.0002552,0.00022528,True,0,,dwr_die2;dwr_die3,hbt_die2_die3,interconnect_session_hbt_die2_die3,0.38,thermal_die3,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest|task=die3_link_die2_die3_EXTEST,I,3,DWR_CAPTURE,0.0002552,0.00025620000000000005,1e-06,False,0,,dwr_die2;dwr_die3,hbt_die2_die3,interconnect_session_hbt_die2_die3,0.38,thermal_die3,
v4_4die_3d_stack,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest|task=die3_link_die2_die3_EXTEST,I,4,DWR_SHIFT_OUT,0.00025620000000000005,0.00049388,0.00023768,True,0,,dwr_die2;dwr_die3,hbt_die2_die3,interconnect_session_hbt_die2_die3,0.38,thermal_die3,
v4_4die_3d_stack,instr0_die3,instrument,die3,IJTAG_instr0_die3_serial|task=die3_instr0_die3_IJTAG,IJTAG,0,CONFIG_ACCESS_PATH,0.00049388,0.00049836,4.48e-06,True,0,,,,,0.04,thermal_die3,
v4_4die_3d_stack,instr0_die3,instrument,die3,IJTAG_instr0_die3_serial|task=die3_instr0_die3_IJTAG,IJTAG,1,ACCESS_INSTRUMENT,0.00049836,0.00049868,3.2e-07,True,0,,,,,0.04,thermal_die3,
v4_4die_3d_stack,instr0_die3,instrument,die3,IJTAG_instr0_die3_serial|task=die3_instr0_die3_IJTAG,IJTAG,2,READ_INSTRUMENT,0.00049868,0.00049932,6.4e-07,True,0,,,,,0.04,thermal_die3,
v4_4die_3d_stack,mem1_die1,memory,die1,B_mem1_die1_local_bist|task=die1_mem1_die1_BIST,B,2,READ_BIST_RESULT,0.00500512,0.00500928,4.16e-06,True,0,,dwr_die1,,,0.07,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,0,CONFIG_ACCESS_PATH,0.00500928,0.00501248,3.2e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,0.00501248,0.0050138,1.32e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest|task=die2_link_die1_die2_EXTEST,I,0,CONFIG_ACCESS_PATH,0.0050138,0.005017,3.2e-06,True,0,,dwr_die1;dwr_die2,,,0.0,thermal_die2,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest|task=die2_link_die1_die2_EXTEST,I,1,CONFIG_DWR_MODE,0.005017,0.0050186399999999996,1.64e-06,True,0,,dwr_die1;dwr_die2,,,0.0,thermal_die2,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest|task=die2_link_die1_die2_EXTEST,I,2,DWR_SHIFT_IN,0.0050186399999999996,0.005223439999999999,0.0002048,True,0,,dwr_die1;dwr_die2,hbt_die1_die2,interconnect_session_hbt_die1_die2,0.35,thermal_die2,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest|task=die2_link_die1_die2_EXTEST,I,3,DWR_CAPTURE,0.005223439999999999,0.0052244399999999995,1e-06,False,0,,dwr_die1;dwr_die2,hbt_die1_die2,interconnect_session_hbt_die1_die2,0.35,thermal_die2,
v4_4die_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest|task=die2_link_die1_die2_EXTEST,I,4,DWR_SHIFT_OUT,0.0052244399999999995,0.00544084,0.0002164,True,0,,dwr_die1;dwr_die2,hbt_die1_die2,interconnect_session_hbt_die1_die2,0.35,thermal_die2,
