case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane8|task=die2_core3a_die2_INTEST,F,0,CONFIG_ACCESS_PATH,0.0,3.2e-06,3.2e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane8|task=die2_core3a_die2_INTEST,F,1,CONFIG_FPP,3.2e-06,4.4799999999999995e-06,1.28e-06,True,0,fpp_3d_stack,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane8|task=die2_core3a_die2_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,4.4799999999999995e-06,5.7999999999999995e-06,1.32e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,0,CONFIG_ACCESS_PATH,5.7999999999999995e-06,8.999999999999999e-06,3.2e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane8|task=die2_core3a_die2_INTEST,F,3,FPP_SHIFT_IN,5.7999999999999995e-06,0.000540175,0.000534375,False,8,fpp_3d_stack,dwr_die2,,test_session_die2,1.8,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,8.999999999999999e-06,1.032e-05,1.32e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,2,SERIAL_SHIFT_IN,1.032e-05,0.38401032,0.384,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane8|task=die2_core3a_die2_INTEST,F,4,CAPTURE,0.000540175,0.0005411750000000001,1e-06,False,0,,dwr_die2,,test_session_die2,2.51,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane8|task=die2_core3a_die2_INTEST,F,5,FPP_SHIFT_OUT,0.0005411750000000001,0.0010755500000000002,0.000534375,False,8,fpp_3d_stack,dwr_die2,,test_session_die2,1.8,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,3,CAPTURE,0.38401032,0.38401132,1e-06,False,0,,dwr_die1,,test_session_die1,2.4099999999999997,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,4,SERIAL_SHIFT_OUT,0.38401132,0.76801692,0.3840056,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane8|task=die2_core3b_die2_INTEST,F,0,CONFIG_ACCESS_PATH,0.76801692,0.76802012,3.2e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane8|task=die2_core3b_die2_INTEST,F,1,CONFIG_FPP,0.76802012,0.7680214,1.28e-06,True,0,fpp_3d_stack,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane8|task=die2_core3b_die2_INTEST,F,2,CONFIG_SCAN_OR_DWR_MODE,0.7680214,0.7680227199999999,1.32e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane8|task=die0_core0_die0_INTEST,F,0,CONFIG_ACCESS_PATH,0.7680227199999999,0.7680246399999999,1.92e-06,True,0,,dwr_die0,,,0.12,thermal_die0,
