case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial|task=die2_core3a_die2_INTEST,S,0,CONFIG_ACCESS_PATH,0.0,3.2e-06,3.2e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial|task=die2_core3a_die2_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,3.2e-06,4.52e-06,1.32e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial|task=die2_core3a_die2_INTEST,S,2,SERIAL_SHIFT_IN,4.52e-06,0.34200452000000003,0.342,True,0,,dwr_die2,,test_session_die2,1.56,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial|task=die2_core3a_die2_INTEST,S,3,CAPTURE,0.34200452000000003,0.34200552,1e-06,False,0,,dwr_die2,,test_session_die2,2.51,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial|task=die2_core3a_die2_INTEST,S,4,SERIAL_SHIFT_OUT,0.34200552,0.68401152,0.342006,True,0,,dwr_die2,,test_session_die2,1.56,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,0,CONFIG_ACCESS_PATH,0.68401152,0.68401472,3.2e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,0.68401472,0.6840160399999999,1.32e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,2,SERIAL_SHIFT_IN,0.6840160399999999,1.0680160399999998,0.384,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,3,CAPTURE,1.0680160399999998,1.0680170399999998,1e-06,False,0,,dwr_die1,,test_session_die1,2.4099999999999997,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial|task=die1_core2_die1_INTEST,S,4,SERIAL_SHIFT_OUT,1.0680170399999998,1.4520226399999998,0.3840056,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
v4_4die_3d_stack,core3b_die2,core,die2,S_core3b_die2_serial|task=die2_core3b_die2_INTEST,S,0,CONFIG_ACCESS_PATH,1.4520226399999998,1.45202584,3.2e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,S_core3b_die2_serial|task=die2_core3b_die2_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,1.45202584,1.4520271599999999,1.32e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,S_core3b_die2_serial|task=die2_core3b_die2_INTEST,S,2,SERIAL_SHIFT_IN,1.4520271599999999,1.70702716,0.255,True,0,,dwr_die2,,test_session_die2,1.35,thermal_die2,
