case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_small_3d_stack,core1_die1,core,die1,S_core1_die1_serial,S,0,CONFIG_ACCESS_PATH,0.0,3.2e-06,3.2e-06,True,0,,dwr_die1,,,0.07,thermal_die1,
v4_small_3d_stack,core0_die0,core,die0,F_core0_die0_lane2,F,0,CONFIG_ACCESS_PATH,3.2e-06,5.12e-06,1.92e-06,True,0,,dwr_die0,,,0.08,thermal_die0,
v4_small_3d_stack,core0_die0,core,die0,F_core0_die0_lane2,F,1,CONFIG_FPP,5.12e-06,6.4e-06,1.28e-06,True,0,fpp_3d_stack,dwr_die0,,,0.08,thermal_die0,
v4_small_3d_stack,core0_die0,core,die0,F_core0_die0_lane2,F,2,CONFIG_SCAN_OR_DWR_MODE,6.4e-06,7.72e-06,1.32e-06,True,0,,dwr_die0,,,0.08,thermal_die0,
v4_small_3d_stack,core1_die1,core,die1,S_core1_die1_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,7.72e-06,9.04e-06,1.32e-06,True,0,,dwr_die1,,,0.07,thermal_die1,
v4_small_3d_stack,core0_die0,core,die0,F_core0_die0_lane2,F,3,FPP_SHIFT_IN,7.72e-06,0.00032022,0.0003125,False,2,fpp_3d_stack,dwr_die0,,test_session_die0,1.1400000000000001,thermal_die0,
v4_small_3d_stack,core1_die1,core,die1,S_core1_die1_serial,S,2,SERIAL_SHIFT_IN,9.04e-06,0.03600904,0.036,True,0,,dwr_die1,,test_session_die1,0.97,thermal_die1,
v4_small_3d_stack,core0_die0,core,die0,F_core0_die0_lane2,F,4,CAPTURE,0.00032022,0.00032122,1e-06,False,0,,dwr_die0,,test_session_die0,1.8800000000000001,thermal_die0,
v4_small_3d_stack,core0_die0,core,die0,F_core0_die0_lane2,F,5,FPP_SHIFT_OUT,0.00032122,0.00063372,0.0003125,False,2,fpp_3d_stack,dwr_die0,,test_session_die0,1.1400000000000001,thermal_die0,
v4_small_3d_stack,core1_die1,core,die1,S_core1_die1_serial,S,3,CAPTURE,0.03600904,0.03601004,1e-06,False,0,,dwr_die1,,test_session_die1,1.6700000000000002,thermal_die1,
