case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_small_3d_stack,mem0_die0,memory,die0,B_mem0_die0_local_bist|task=die0_mem0_die0_BIST,B,0,CONFIG_BIST,0.0,3.2e-06,3.2e-06,True,0,,dwr_die0,,,0.06,thermal_die0,
v4_small_3d_stack,mem1_die1,memory,die1,B_mem1_die1_local_bist|task=die1_mem1_die1_BIST,B,0,CONFIG_BIST,3.2e-06,7.680000000000001e-06,4.48e-06,True,0,,dwr_die1,,,0.05,thermal_die1,
v4_small_3d_stack,mem0_die0,memory,die0,B_mem0_die0_local_bist|task=die0_mem0_die0_BIST,B,1,LOCAL_BIST_RUN,3.2e-06,0.0020032,0.002,False,0,,dwr_die0,,test_session_die0,2.06,thermal_die0,external TAP resources released; local test session remains occupied
v4_small_3d_stack,core2_die2,core,die2,S_core2_die2_serial|task=die2_core2_die2_INTEST,S,0,CONFIG_ACCESS_PATH,7.680000000000001e-06,1.2160000000000002e-05,4.48e-06,True,0,,dwr_die2,,,0.07,thermal_die2,
v4_small_3d_stack,mem1_die1,memory,die1,B_mem1_die1_local_bist|task=die1_mem1_die1_BIST,B,1,LOCAL_BIST_RUN,7.680000000000001e-06,0.00150768,0.0015,False,0,,dwr_die1,,test_session_die1,1.6500000000000001,thermal_die1,external TAP resources released; local test session remains occupied
v4_small_3d_stack,core2_die2,core,die2,S_core2_die2_serial|task=die2_core2_die2_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,1.2160000000000002e-05,1.3480000000000003e-05,1.32e-06,True,0,,dwr_die2,,,0.07,thermal_die2,
v4_small_3d_stack,instr0_die2,instrument,die2,IJTAG_instr0_die2_serial|task=die2_instr0_die2_IJTAG,IJTAG,0,CONFIG_ACCESS_PATH,1.3480000000000003e-05,1.7960000000000004e-05,4.48e-06,True,0,,,,,0.03,thermal_die2,
v4_small_3d_stack,instr0_die2,instrument,die2,IJTAG_instr0_die2_serial|task=die2_instr0_die2_IJTAG,IJTAG,1,ACCESS_INSTRUMENT,1.7960000000000004e-05,1.8120000000000003e-05,1.6e-07,True,0,,,,,0.03,thermal_die2,
v4_small_3d_stack,instr0_die2,instrument,die2,IJTAG_instr0_die2_serial|task=die2_instr0_die2_IJTAG,IJTAG,2,READ_INSTRUMENT,1.8120000000000003e-05,1.8440000000000003e-05,3.2e-07,True,0,,,,,0.03,thermal_die2,
v4_small_3d_stack,mem1_die1,memory,die1,B_mem1_die1_local_bist|task=die1_mem1_die1_BIST,B,2,READ_BIST_RESULT,0.00150768,0.00151056,2.88e-06,True,0,,dwr_die1,,,0.05,thermal_die1,
v4_small_3d_stack,core1_die1,core,die1,S_core1_die1_serial|task=die1_core1_die1_INTEST,S,0,CONFIG_ACCESS_PATH,0.00151056,0.00151376,3.2e-06,True,0,,dwr_die1,,,0.07,thermal_die1,
v4_small_3d_stack,core1_die1,core,die1,S_core1_die1_serial|task=die1_core1_die1_INTEST,S,1,CONFIG_SCAN_OR_DWR_MODE,0.00151376,0.00151508,1.32e-06,True,0,,dwr_die1,,,0.07,thermal_die1,
v4_small_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest|task=die2_link_die1_die2_EXTEST,I,0,CONFIG_ACCESS_PATH,0.00151508,0.00151956,4.48e-06,True,0,,dwr_die1;dwr_die2,,,0.0,thermal_die2,
v4_small_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest|task=die2_link_die1_die2_EXTEST,I,1,CONFIG_DWR_MODE,0.00151956,0.0015212000000000001,1.64e-06,True,0,,dwr_die1;dwr_die2,,,0.0,thermal_die2,
