case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,lane_count,power_profile,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,peak_power_w,peak_temperature_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,selected_recipe_types,thermal_violations,solver_status
m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,89,8,nominal,pure_serial,baseline,ok,,0.21050052000000002,1.0,1.0,2.1799999999999997,25.13558930394249,thermal_die0,0.0,0.9998717342836017,I:7;S:21,0,greedy
m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,89,8,nominal,fixed_fastest,fixed_path,ok,,0.0030960799999999998,0.014708182193564175,67.98936719981397,2.2859,25.004812883980506,thermal_die0,0.013076502686461579,0.9977390765096509,F:20;I:7;S:1,0,greedy
m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,89,8,nominal,fixed_low_power,fixed_path,ok,,0.00637018,0.03026206301058068,33.04467377687915,2.2859,25.01995082881351,thermal_die5,0.005494661748176658,0.4865670985749225,B:3;F:17;I:7;S:1,0,greedy
m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,89,8,nominal,fixed_thermal_min,fixed_path,ok,,0.00637018,0.03026206301058068,33.04467377687915,2.2859,25.01995082881351,thermal_die5,0.005494661748176658,0.4865670985749225,B:3;F:17;I:7;S:1,0,greedy
m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,89,8,nominal,tam_like,fixed_path,ok,,0.0030960799999999998,0.014708182193564175,67.98936719981397,2.2859,25.004812883980506,thermal_die0,0.013076502686461579,0.9977390765096509,F:20;I:7;S:1,0,greedy
m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,89,8,nominal,joint_m4_greedy,joint,ok,,0.0030960799999999998,0.014708182193564175,67.98936719981397,2.2859,25.004812883980506,thermal_die0,0.013076502686461579,0.9977390765096509,F:20;I:7;S:1,0,greedy
m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,89,8,nominal,pure_serial,baseline,ok,,0.21089507999999996,1.0,1.0,2.1799999999999997,25.149742269194586,thermal_die0,0.0,0.9998719742537377,I:7;S:21,0,greedy
m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,89,8,nominal,fixed_fastest,fixed_path,ok,,0.0034926920625,0.016561278065377345,60.381813290761585,2.2377,25.0019543549507,thermal_die6,0.09273282090267293,0.9974082849738773,F:20;I:7;S:1,0,greedy
m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,89,8,nominal,fixed_low_power,fixed_path,ok,,0.0064257189375,0.030468794897917966,32.82046445717265,3.0126,25.02176270243863,thermal_die5,0.043577361183018574,0.5443624338416685,B:3;F:17;I:7;S:1,0,greedy
m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,89,8,nominal,fixed_thermal_min,fixed_path,ok,,0.0064257189375,0.030468794897917966,32.82046445717265,3.0126,25.02176270243863,thermal_die5,0.043577361183018574,0.5443624338416685,B:3;F:17;I:7;S:1,0,greedy
m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,89,8,nominal,tam_like,fixed_path,ok,,0.0034926920625,0.016561278065377345,60.381813290761585,2.2377,25.0019543549507,thermal_die6,0.09273282090267293,0.9974082849738773,F:20;I:7;S:1,0,greedy
m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,89,8,nominal,joint_m4_greedy,joint,ok,,0.00357454453125,0.01694939745038149,58.99914748754047,2.2377,25.001954030926044,thermal_die6,0.09057608519616894,0.9971172463624626,F:19;I:7;S:2,0,greedy
m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,89,8,nominal,pure_serial,baseline,ok,,0.2104461200000001,1.0,1.0,2.1799999999999997,25.138723276204328,thermal_die0,0.0,0.9998717011271102,I:7;S:21,0,greedy
m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,89,8,nominal,fixed_fastest,fixed_path,ok,,0.003140371625000001,0.014922449627486595,67.01312619330524,2.5855999999999995,25.001830431615538,thermal_die0,0.1031365794167752,0.9663442300399717,F:20;I:7;S:1,0,greedy
m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,89,8,nominal,fixed_low_power,fixed_path,ok,,0.0063814819375,0.030323590368404024,32.97762526966333,2.6641,25.022748393096666,thermal_die5,0.043879443324053136,0.47738127755219406,B:3;F:17;I:7;S:1,0,greedy
m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,89,8,nominal,fixed_thermal_min,fixed_path,ok,,0.0063814819375,0.030323590368404024,32.97762526966333,2.6641,25.022748393096666,thermal_die5,0.043879443324053136,0.47738127755219406,B:3;F:17;I:7;S:1,0,greedy
m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,89,8,nominal,tam_like,fixed_path,ok,,0.003140371625000001,0.014922449627486595,67.01312619330524,2.5855999999999995,25.001830431615538,thermal_die0,0.1031365794167752,0.9663442300399717,F:20;I:7;S:1,0,greedy
m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,89,8,nominal,joint_m4_greedy,joint,ok,,0.003140371625000001,0.014922449627486595,67.01312619330524,2.5855999999999995,25.001830431615538,thermal_die0,0.1031365794167752,0.9663442300399717,F:20;I:7;S:1,0,greedy
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,pure_serial,baseline,ok,,0.09304835999999998,1.0,1.0,2.1799999999999997,25.130599203437754,thermal_die1,0.0,0.9997743109067154,I:5;S:17,0,greedy
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,fixed_fastest,fixed_path,ok,,0.00211752,0.022757198514836804,43.94213986172503,2.2584999999999997,25.00314493747335,thermal_die0,0.008378931338310854,0.9976387472137218,F:16;I:5;S:1,0,greedy
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,fixed_low_power,fixed_path,ok,,0.00243992,0.026222063451736284,38.135824125381156,2.2584999999999997,25.00641139638094,thermal_die3,0.006327362295690023,0.8700941014459489,B:3;F:13;I:5;S:1,0,greedy
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,fixed_thermal_min,fixed_path,ok,,0.00243992,0.026222063451736284,38.135824125381156,2.2584999999999997,25.00641139638094,thermal_die3,0.006327362295690023,0.8700941014459489,B:3;F:13;I:5;S:1,0,greedy
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,tam_like,fixed_path,ok,,0.00211752,0.022757198514836804,43.94213986172503,2.2584999999999997,25.00314493747335,thermal_die0,0.008378931338310854,0.9976387472137218,F:16;I:5;S:1,0,greedy
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,joint_m4_greedy,joint,ok,,0.00211752,0.022757198514836804,43.94213986172503,2.2584999999999997,25.00314493747335,thermal_die0,0.008378931338310854,0.9976387472137218,F:16;I:5;S:1,0,greedy
m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,71,8,nominal,m5_cpsat,joint,ok,,0.00211252,0.02270346301643576,44.0461439418325,2.2440999999999995,25.003146927221096,thermal_die0,0.008405837577869085,0.9999999999999998,F:16;I:5;S:1,0,FEASIBLE
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,pure_serial,baseline,ok,,0.09320772,1.0,1.0,2.1799999999999997,25.13599610303438,thermal_die1,0.0,0.9997746967740438,I:5;S:17,0,greedy
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,fixed_fastest,fixed_path,ok,,0.0022778200000000003,0.024438104483190882,40.919703927439386,2.2584999999999997,25.001422360377617,thermal_die4,0.06231415893266367,0.9973922434608528,F:16;I:5;S:1,0,greedy
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,fixed_low_power,fixed_path,ok,,0.0024514520624999998,0.026300955140840264,38.021432858428575,2.6845999999999997,25.008394871431193,thermal_die3,0.05038077814748214,0.9325738140963545,B:3;F:13;I:5;S:1,0,greedy
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,fixed_thermal_min,fixed_path,ok,,0.0024514520624999998,0.026300955140840264,38.021432858428575,2.6845999999999997,25.008394871431193,thermal_die3,0.05038077814748214,0.9325738140963545,B:3;F:13;I:5;S:1,0,greedy
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,tam_like,fixed_path,ok,,0.0022778200000000003,0.024438104483190882,40.919703927439386,2.2584999999999997,25.001422360377617,thermal_die4,0.06231415893266367,0.9973922434608528,F:16;I:5;S:1,0,greedy
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,joint_m4_greedy,joint,ok,,0.0022778200000000003,0.024438104483190882,40.919703927439386,2.2584999999999997,25.001422360377617,thermal_die4,0.06231415893266367,0.9973922434608528,F:16;I:5;S:1,0,greedy
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,m5_cpsat,joint,ok,,0.00227188,0.02437437585642048,41.02669155061006,2.7792000000000003,25.003153787783006,thermal_die1,0.06247975245171399,0.9999999999999998,F:16;I:5;S:1,0,FEASIBLE
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,pure_serial,baseline,ok,,0.09308675999999996,1.0,1.0,2.1799999999999997,25.15795893408409,thermal_die1,0.0,0.9997744040076159,I:5;S:17,0,greedy
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,fixed_fastest,fixed_path,ok,,0.0021578359375000002,0.02318091141532911,43.138942299685354,2.2554,25.001620935243967,thermal_die0,0.06577906829397216,0.9967949660213681,F:16;I:5;S:1,0,greedy
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,fixed_low_power,fixed_path,ok,,0.002430198125,0.026106807509467523,38.30418558980658,3.1999,25.008033048706213,thermal_die3,0.05082139650650911,0.8896393992567991,B:3;F:13;I:5;S:1,0,greedy
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,fixed_thermal_min,fixed_path,ok,,0.002430198125,0.026106807509467523,38.30418558980658,3.1999,25.008033048706213,thermal_die3,0.05082139650650911,0.8896393992567991,B:3;F:13;I:5;S:1,0,greedy
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,tam_like,fixed_path,ok,,0.0021578359375000002,0.02318091141532911,43.138942299685354,2.2554,25.001620935243967,thermal_die0,0.06577906829397216,0.9967949660213681,F:16;I:5;S:1,0,greedy
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,joint_m4_greedy,joint,ok,,0.0021578359375000002,0.02318091141532911,43.138942299685354,2.2554,25.001620935243967,thermal_die0,0.06577906829397216,0.9967949660213681,F:16;I:5;S:1,0,greedy
m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,121,71,8,nominal,m5_cpsat,joint,ok,,0.00215092,0.02310661580658733,43.27764863407284,3.4520999999999997,25.0025925032551,thermal_die1,0.0659946673981366,0.9999999999999998,F:16;I:5;S:1,0,FEASIBLE
m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,77,47,8,nominal,pure_serial,baseline,ok,,0.0036013999999999985,1.0,1.0,2.1799999999999997,25.005483945580103,thermal_die0,0.0,0.9963902926639637,I:3;S:11,0,greedy
m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,77,47,8,nominal,fixed_fastest,fixed_path,ok,,0.0012105600000000003,0.3361359471316712,2.974986782976472,2.2870999999999997,25.001732151672943,thermal_die0,0.000377259543104018,0.9975218080888184,F:10;I:3;S:1,0,greedy
m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,77,47,8,nominal,fixed_low_power,fixed_path,ok,,0.00129652,0.36000444271672144,2.7777434979792046,2.3245,25.0035905538537,thermal_die2,0.00028108296632523987,0.9389442507635826,B:3;F:7;I:3;S:1,0,greedy
m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,77,47,8,nominal,fixed_thermal_min,fixed_path,ok,,0.00129652,0.36000444271672144,2.7777434979792046,2.3245,25.0035905538537,thermal_die2,0.00028108296632523987,0.9389442507635826,B:3;F:7;I:3;S:1,0,greedy
m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,77,47,8,nominal,tam_like,fixed_path,ok,,0.0012105600000000003,0.3361359471316712,2.974986782976472,2.2870999999999997,25.001732151672943,thermal_die0,0.000377259543104018,0.9975218080888184,F:10;I:3;S:1,0,greedy
m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,77,47,8,nominal,joint_m4_greedy,joint,ok,,0.0012105600000000003,0.3361359471316712,2.974986782976472,2.2870999999999997,25.001732151672943,thermal_die0,0.000377259543104018,0.9975218080888184,F:10;I:3;S:1,0,greedy
m10_small_d695_2_5d_interposer,d695,small,2_5d_interposer,4,1,14,77,47,8,nominal,m5_cpsat,joint,ok,,0.00120756,0.3353029377464321,2.9823776872370718,2.2384999999999997,25.001732288502097,thermal_die0,0.0003859021497896584,1.0,F:10;I:3;S:1,0,FEASIBLE
m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,77,47,8,nominal,pure_serial,baseline,ok,,0.0036202799999999996,1.0,1.0,2.1799999999999997,25.004820884844833,thermal_die1,0.0,0.9964091175268212,I:3;S:11,0,greedy
m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,77,47,8,nominal,fixed_fastest,fixed_path,ok,,0.0012294400000000003,0.339598042140387,2.944657730348776,2.2493999999999996,25.00096835283851,thermal_die2,0.002971728998568453,0.9975598646538262,F:10;I:3;S:1,0,greedy
m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,77,47,8,nominal,fixed_low_power,fixed_path,ok,,0.00128372,0.35459135757455224,2.8201476957592,2.3645,25.00478806132372,thermal_die2,0.002271085205496525,0.9635122924002121,B:3;F:7;I:3;S:1,0,greedy
m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,77,47,8,nominal,fixed_thermal_min,fixed_path,ok,,0.00128372,0.35459135757455224,2.8201476957592,2.3645,25.00478806132372,thermal_die2,0.002271085205496525,0.9635122924002121,B:3;F:7;I:3;S:1,0,greedy
m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,77,47,8,nominal,tam_like,fixed_path,ok,,0.0012294400000000003,0.339598042140387,2.944657730348776,2.2493999999999996,25.00096835283851,thermal_die2,0.002971728998568453,0.9975598646538262,F:10;I:3;S:1,0,greedy
m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,77,47,8,nominal,joint_m4_greedy,joint,ok,,0.0012294400000000003,0.339598042140387,2.944657730348776,2.2493999999999996,25.00096835283851,thermal_die2,0.002971728998568453,0.9975598646538262,F:10;I:3;S:1,0,greedy
