ablation_id,ablation_label,case_id,source_case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,shared_bist_group_count,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,gain_vs_fixed_fastest_percent,peak_power_w,peak_temperature_c,temperature_rise_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,tap_access_phase_count,tap_access_time_s,fpp_data_time_s,exclusive_test_time_s,selected_recipe_types,selected_b_count,selected_f_count,selected_h_count,selected_s_count,solver_status
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,98,3,pure_serial,baseline,ok,,0.21050052000000002,1.0,1.0,-6698.936719981397,2.1799999999999997,25.13558930394249,0.13558930394248847,thermal_die0,0.0,0.9998717342836017,111,0.21047352,0,0.21038488000000008,I:7;S:21,0,0,0,21,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,98,3,fixed_fastest,fixed_path,ok,,0.0030960799999999998,0.014708182193564175,67.98936719981397,0.0,2.2859,25.004796610707988,0.0047966107079879805,thermal_die0,0.006538251343230796,0.9977390765096509,91,0.0030890799999999997,2.0242949218750002e-05,0.0029950829492187505,F:20;I:7;S:1,0,20,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,98,3,tam_like,fixed_path,ok,,0.0030960799999999998,0.014708182193564175,67.98936719981397,0.0,2.2859,25.004796610707988,0.0047966107079879805,thermal_die0,0.006538251343230796,0.9977390765096509,91,0.0030890799999999997,2.0242949218750002e-05,0.0029950829492187505,F:20;I:7;S:1,0,20,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,151,98,3,m4_greedy,joint,ok,,0.0030960799999999998,0.014708182193564175,67.98936719981397,0.0,2.2859,25.004796610707988,0.0047966107079879805,thermal_die0,0.006538251343230796,0.9977390765096509,91,0.0030890799999999997,2.0242949218750002e-05,0.0029950829492187505,F:20;I:7;S:1,0,20,0,1,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,20,pure_serial,baseline,ok,,425.69281271999984,1.0,1.0,-2722055.2308211746,2.48,35.214639940970415,10.214639940970415,thermal_die3,0.0,0.9999999365739821,111,425.6927857199999,0,425.69269707999996,I:7;S:21,0,0,0,21,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,20,fixed_fastest,fixed_path,ok,,0.01563808,3.6735597907042826e-05,27221.55230821174,0.0,32.720000000000006,41.27929187527529,16.27929187527529,thermal_die2,0.0,0.20186365589637603,71,0.0031567599999999998,0,0.10695483999999997,B:20;I:7;S:1,20,0,0,1,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,20,tam_like,fixed_path,ok,,2.217159133333334,0.005208354632925584,191.9992148150423,-14077.949807990071,2.71,36.42399814393978,11.423998143939777,thermal_die3,0.9999883634874863,0.001393260390541205,91,0.00308908,2.217133333333334,2.220108173333333,F:20;I:7;S:1,0,20,0,1,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,20,m4_greedy,joint,ok,,0.01563808,3.6735597907042826e-05,27221.55230821174,0.0,32.720000000000006,41.27929187527529,16.27929187527529,thermal_die2,0.0,0.20186365589637603,71,0.0031567599999999998,0,0.10695483999999997,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,48,48,2,pure_serial,baseline,ok,,425.69281271999984,1.0,1.0,-818323.4570236797,2.48,35.214639940970415,10.214639940970415,thermal_die3,0.0,0.9999999365739821,111,425.6927857199999,0,425.69269707999996,I:7;S:21,0,0,0,21,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,48,48,2,fixed_fastest,fixed_path,ok,,0.052013759999999985,0.00012218613621323252,8184.234570236798,0.0,8.61,35.67502406470885,10.67502406470885,thermal_die3,0.0,0.06069086334077753,71,0.0031567599999999998,0,0.10695483999999994,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,48,48,2,tam_like,fixed_path,ok,,0.052013759999999985,0.00012218613621323252,8184.234570236798,0.0,8.61,35.67502406470885,10.67502406470885,thermal_die3,0.0,0.06069086334077753,71,0.0031567599999999998,0,0.10695483999999994,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,48,48,2,m4_greedy,joint,ok,,0.052013759999999985,0.00012218613621323252,8184.234570236798,0.0,8.61,35.67502406470885,10.67502406470885,thermal_die3,0.0,0.06069086334077753,71,0.0031567599999999998,0,0.10695483999999994,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,2,pure_serial,baseline,ok,,425.69281271999984,1.0,1.0,-818323.4570236797,2.48,35.214639940970415,10.214639940970415,thermal_die3,0.0,0.9999999365739821,111,425.6927857199999,0,425.69269707999996,I:7;S:21,0,0,0,21,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,2,fixed_fastest,fixed_path,ok,,0.052013759999999985,0.00012218613621323252,8184.234570236798,0.0,8.61,35.67502406470885,10.67502406470885,thermal_die3,0.0,0.06069086334077753,71,0.0031567599999999998,0,0.10695483999999994,B:20;I:7;S:1,20,0,0,1,greedy
