iteration,destroy_operator,destroyed_targets,candidate_makespan_s,incumbent_makespan_s,best_makespan_s,accepted,improved,repair_backend
1,critical_path,core_die1_cpu;core_die3_accel;core_die0_logic,0.00396392,0.00396392,0.00396392,True,False,ortools
2,resource_congestion,core_die0_logic;core_die3_accel;core_die1_cpu,0.00396392,0.00396392,0.00396392,True,False,ortools
3,thermal_hotspot,core_die1_cpu;core_die0_logic;core_die3_accel,0.00396392,0.00396392,0.00396392,True,False,ortools
4,random,core_die1_cpu;link_die1_die2;mem_die2_sram,0.00396392,0.00396392,0.00396392,True,False,ortools
5,critical_path,core_die3_accel;core_die1_cpu;core_die0_logic,0.00396392,0.00396392,0.00396392,True,False,ortools
6,resource_congestion,core_die1_cpu;core_die3_accel;link_die2_die3,0.00396392,0.00396392,0.00396392,True,False,ortools
7,thermal_hotspot,core_die1_cpu;core_die0_logic;core_die3_accel,0.00396392,0.00396392,0.00396392,True,False,ortools
8,random,sensor_die1_temp;link_die0_die1;link_die1_die2,0.00396392,0.00396392,0.00396392,True,False,ortools
9,critical_path,core_die1_cpu;core_die3_accel;core_die0_logic,0.00396392,0.00396392,0.00396392,True,False,ortools
10,resource_congestion,core_die1_cpu;core_die3_accel;link_die2_die3,0.00396392,0.00396392,0.00396392,True,False,ortools
11,thermal_hotspot,core_die1_cpu;core_die0_logic;core_die3_accel,0.00396392,0.00396392,0.00396392,True,False,ortools
12,random,core_die0_logic;core_die1_cpu;link_die1_die2,0.00396392,0.00396392,0.00396392,True,False,ortools
13,critical_path,core_die1_cpu;core_die3_accel;core_die0_logic,0.00396392,0.00396392,0.00396392,True,False,ortools
14,resource_congestion,core_die1_cpu;core_die3_accel;link_die2_die3,0.00396392,0.00396392,0.00396392,True,False,ortools
15,thermal_hotspot,core_die1_cpu;core_die0_logic;core_die3_accel,0.00396392,0.00396392,0.00396392,True,False,ortools
16,random,core_die3_accel;link_die1_die2;link_die0_die1,0.00396392,0.00396392,0.00396392,True,False,ortools
17,critical_path,core_die1_cpu;core_die3_accel;core_die0_logic,0.00396392,0.00396392,0.00396392,True,False,ortools
18,resource_congestion,core_die1_cpu;core_die3_accel;link_die2_die3,0.00396392,0.00396392,0.00396392,True,False,ortools
19,thermal_hotspot,core_die1_cpu;core_die0_logic;core_die3_accel,0.00396392,0.00396392,0.00396392,True,False,ortools
20,random,mem_die2_sram;link_die2_die3;core_die0_logic,0.00396392,0.00396392,0.00396392,True,False,ortools
