case_id,topology,condition_id,method_id,status,error,makespan_s,makespan_us,serial_busy_ratio,fpp_utilization,bist_overlap_ratio,max_concurrent_bist,peak_temperature_c,thermal_violations,selected_recipe_types,task_count,variant_count,scheduled_task_count,peak_power_w,solver_status,solver_wall_time_s,die_count,fpp_lane_count,bist_engine_count
v4_small_3d_stack,3d_stack,serial_baseline,m5_cpsat,ok,,0.22842892,228428.92,1.0,0.0,0.0,0,44.860162419202624,0,I+IJTAG+S,6,6,6,2.6500000000000004,OPTIMAL,0.0314477,3,0,0
v4_small_3d_stack,3d_stack,serial_baseline,m4_greedy,ok,,0.22843392,228433.92,0.9999781118320782,0.0,0.0,0,47.38942854864672,0,I+IJTAG+S,6,6,6,1.8800000000000001,,0.0,3,0,0
v4_small_3d_stack,3d_stack,bist_only,m5_cpsat,ok,,0.22844172,228441.72,1.0000000000000002,0.0,0.42857142857142894,2,50.184350648737286,0,B+I+IJTAG+S,8,8,8,4.63,OPTIMAL,0.0401229,3,0,2
v4_small_3d_stack,3d_stack,bist_only,m4_greedy,ok,,0.23020296,230202.96000000002,0.9923491861268856,0.0,0.42857142857142855,2,48.184122573296236,0,B+I+IJTAG+S,8,8,8,3.7800000000000002,,0.0,3,0,2
v4_small_3d_stack,3d_stack,fpp_only,m5_cpsat,ok,,0.1284262,128426.2,1.0000000000000002,0.002433304107728797,0.0,0,49.761899676169506,0,F+I+IJTAG+S,6,9,6,2.85,OPTIMAL,0.0434642,3,4,0
v4_small_3d_stack,3d_stack,fpp_only,m4_greedy,ok,,0.12843020000000002,128430.20000000003,0.9999688546774824,0.0024332283216875776,0.0,0,54.11522043428407,0,F+I+IJTAG+S,6,9,6,2.8,,0.0,3,4,0
v4_small_3d_stack,3d_stack,bist_fpp,m5_cpsat,ok,,0.128439,128439.0,1.0000000000000002,0.0024330616090128387,0.42857142857142894,2,54.5420029405499,0,B+F+I+IJTAG+S,8,11,8,4.63,OPTIMAL,0.1496837,3,4,2
v4_small_3d_stack,3d_stack,bist_fpp,m4_greedy,ok,,0.13019924000000002,130199.24000000002,0.9864804126352812,0.002400167620026046,0.42857142857142855,2,54.10190544934655,0,B+F+I+IJTAG+S,8,11,8,3.7800000000000002,,0.0,3,4,2
v4_small_3d_stack,3d_stack,bist_fpp_thermal,m5_cpsat,ok,,0.128439,128439.0,1.0000000000000002,0.0024330616090128387,0.42857142857142894,2,54.54329851784452,0,B+F+I+IJTAG+S,8,11,8,4.63,OPTIMAL,0.2041022,3,4,2
v4_small_3d_stack,3d_stack,bist_fpp_thermal,m4_greedy,ok,,0.13019924000000002,130199.24000000002,0.9864804126352812,0.002400167620026046,0.42857142857142855,2,54.10190544934655,0,B+F+I+IJTAG+S,8,11,8,3.7800000000000002,,0.0,3,4,2
